fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-12-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.4,6.1,6.8,08:00,14.1,15:30,32,2.5,11.9,20:20,0.1,1028.2,-2,1022.8,24
2020-12-02,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.7,0.0,8.4,07:00,13.0,10:10,99,1.9,9.4,-2,4.2,1022.8,0,1019.5,24
2020-12-03,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.9,22.6,7.3,23:59,14.5,13:50,28,3.9,22.5,21:01,2.5,1019.5,0,994.7,20
2020-12-04,1109,SANTANDER AEROPUERTO,CANTABRIA,3,6.6,24.2,4.5,23:00,8.8,09:00,32,3.6,22.5,00:10,0.0,997.2,24,992.8,8
2020-12-05,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.0,42.1,6.3,00:00,9.7,11:05,26,6.7,16.4,11:49,0.1,1006.0,22,996.8,1
2020-12-06,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.3,42.7,6.9,00:30,9.7,12:00,29,6.7,19.4,05:49,0.0,1008.6,-2,1004.6,24
2020-12-07,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.4,24.1,7.4,02:30,13.5,05:00,29,13.9,25.3,13:01,0.8,1004.7,0,999.9,20
2020-12-08,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.3,57.2,6.4,-2,10.2,12:15,27,7.2,20.8,03:10,0.1,1017.3,-2,1001.0,0
2020-12-09,1109,SANTANDER AEROPUERTO,CANTABRIA,3,9.4,8.7,5.9,-2,12.8,12:10,22,5.0,12.5,17:10,0.0,1018.8,-2,1007.1,23
2020-12-10,1109,SANTANDER AEROPUERTO,CANTABRIA,3,12.5,12.7,9.8,00:30,15.2,11:30,28,7.8,22.2,02:40,0.0,1010.8,-2,1002.7,-2
2020-12-11,1109,SANTANDER AEROPUERTO,CANTABRIA,3,14.8,6.3,12.7,19:00,17.0,09:00,33,10.0,22.2,10:49,1.8,1008.9,24,1002.9,-2
2020-12-12,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.7,11.1,8.8,22:30,14.6,00:40,30,6.7,24.7,04:49,0.0,1017.0,17,1008.6,0
2020-12-13,1109,SANTANDER AEROPUERTO,CANTABRIA,3,14.2,0.0,9.2,01:00,19.3,13:45,20,2.8,12.8,21:49,1.6,1015.0,0,1006.3,15
