fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-12-01,1111,SANTANDER,CANTABRIA,52,11.4,4.6,8.7,08:00,14.0,18:00,33,3.9,12.5,19:20,0.5,1021.0,0,1016.1,24
2020-12-02,1111,SANTANDER,CANTABRIA,52,11.2,0.1,9.8,23:00,12.6,00:00,1,3.6,10.0,10:40,5.4,1016.1,0,1012.8,24
2020-12-03,1111,SANTANDER,CANTABRIA,52,11.4,18.4,8.2,23:50,14.5,-2,30,3.9,23.3,22:30,3.1,1012.9,0,988.2,20
2020-12-04,1111,SANTANDER,CANTABRIA,52,7.0,27.8,4.5,22:00,9.5,09:10,28,6.9,24.2,02:55,0.5,989.8,24,986.1,7
2020-12-05,1111,SANTANDER,CANTABRIA,52,7.6,58.0,4.6,19:05,10.6,11:55,26,8.6,22.2,09:37,0.0,997.9,24,989.8,0
2020-12-06,1111,SANTANDER,CANTABRIA,52,8.5,62.7,7.0,21:30,10.0,13:30,28,9.2,21.1,05:30,0.0,1001.3,-2,997.0,1
2020-12-07,1111,SANTANDER,CANTABRIA,52,10.6,32.9,7.8,-2,13.3,10:30,28,12.8,27.2,17:02,1.1,998.1,0,991.9,21
2020-12-08,1111,SANTANDER,CANTABRIA,52,7.8,48.7,4.0,09:10,11.6,23:50,27,7.8,25.8,00:35,0.0,1009.4,24,993.1,0
2020-12-09,1111,SANTANDER,CANTABRIA,52,10.0,15.7,8.0,01:55,12.0,14:05,28,6.9,14.7,08:12,0.0,1011.1,12,1000.7,24
2020-12-10,1111,SANTANDER,CANTABRIA,52,12.6,13.6,10.6,00:00,14.5,00:40,28,6.4,22.8,02:45,1.1,1003.7,12,996.4,24
2020-12-11,1111,SANTANDER,CANTABRIA,52,14.4,0.8,12.5,-2,16.2,09:10,31,10.0,23.1,15:17,0.8,1001.4,24,996.3,13
2020-12-12,1111,SANTANDER,CANTABRIA,52,12.2,3.8,11.0,-2,13.5,02:50,29,7.2,22.2,03:43,0.0,1009.4,20,1000.6,0
2020-12-13,1111,SANTANDER,CANTABRIA,52,14.8,0.0,11.0,-2,18.5,-2,20,3.9,11.7,23:08,2.3,1008.6,0,1001.0,24
2020-12-14,1111,SANTANDER,CANTABRIA,52,14.4,1.1,10.6,-2,18.2,-2,20,3.6,11.7,01:06,1.6,1003.3,23,998.1,14
2020-12-15,1111,SANTANDER,CANTABRIA,52,13.4,0.0,10.5,07:40,16.4,12:45,21,4.4,16.9,23:45,6.7,1006.6,11,1000.9,24
2020-12-16,1111,SANTANDER,CANTABRIA,52,14.2,2.5,10.5,-2,17.9,12:10,18,6.9,20.3,04:33,1.8,1012.7,24,998.6,5
2020-12-17,1111,SANTANDER,CANTABRIA,52,12.3,0.0,9.3,07:30,15.3,11:00,20,2.8,5.6,07:00,7.9,1016.7,11,1012.7,0
2020-12-18,1111,SANTANDER,CANTABRIA,52,13.2,1.6,10.5,-2,16.0,-2,20,7.2,19.2,21:08,5.2,1015.0,0,1005.0,-2
2020-12-19,1111,SANTANDER,CANTABRIA,52,13.9,0.0,11.2,22:00,16.6,09:10,19,2.8,16.7,00:10,2.6,1012.5,24,1005.6,0
2020-12-20,1111,SANTANDER,CANTABRIA,52,12.6,2.6,9.8,08:30,15.5,12:55,20,3.9,9.4,23:41,4.0,1016.2,11,1012.4,0
2020-12-21,1111,SANTANDER,CANTABRIA,52,16.8,0.0,13.0,01:45,20.7,14:15,29,3.3,11.1,03:00,5.4,1016.8,21,1013.0,4
2020-12-22,1111,SANTANDER,CANTABRIA,52,17.5,0.0,13.5,06:50,21.5,17:30,20,5.6,13.3,23:50,3.2,1016.1,0,1010.9,24
2020-12-23,1111,SANTANDER,CANTABRIA,52,15.0,5.2,10.0,21:00,20.0,00:30,28,5.3,15.0,20:25,0.0,1018.6,24,1008.9,5
2020-12-24,1111,SANTANDER,CANTABRIA,52,10.4,9.3,8.8,15:40,12.0,09:59,29,7.2,16.1,14:42,1.7,1021.9,24,1017.8,0
2020-12-25,1111,SANTANDER,CANTABRIA,52,8.9,0.5,7.0,06:10,10.8,-2,3,4.4,16.1,05:20,5.0,1027.0,20,1021.8,2
2020-12-26,1111,SANTANDER,CANTABRIA,52,7.8,0.2,6.1,08:00,9.6,00:00,2,3.6,10.3,02:29,0.8,1026.4,0,1016.0,24
2020-12-27,1111,SANTANDER,CANTABRIA,52,9.0,17.8,5.5,00:50,12.5,16:30,31,6.4,28.9,20:10,0.0,1016.3,0,985.4,24
2020-12-28,1111,SANTANDER,CANTABRIA,52,9.0,29.1,7.0,-2,11.0,16:50,27,13.6,26.9,14:50,0.2,993.4,24,985.3,1
2020-12-29,1111,SANTANDER,CANTABRIA,52,7.3,43.5,4.6,10:40,10.0,12:15,30,8.9,21.9,16:02,0.7,1004.3,24,993.4,0
2020-12-30,1111,SANTANDER,CANTABRIA,52,8.5,6.5,6.8,02:15,10.2,23:59,31,6.1,18.1,03:22,0.0,1008.9,13,1004.3,0
2020-12-31,1111,SANTANDER,CANTABRIA,52,8.0,45.7,5.0,22:00,11.0,-2,27,6.7,17.5,12:42,0.0,1006.3,0,1001.2,13
