fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
2020-12-01,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,10.2,5.6,6.1,08:00,14.4,12:10,30,2.8,12.5,20:00,1023.1,0,1018.3,24
2020-12-02,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,11.0,0.1,9.0,20:30,12.9,10:40,4,3.9,9.7,01:30,1018.3,0,1014.9,24
2020-12-03,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,11.8,15.5,7.7,07:50,16.0,13:00,29,1.7,25.8,20:20,1014.9,0,990.2,19
2020-12-04,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,6.1,17.5,3.6,20:50,8.6,09:50,29,2.8,21.4,02:30,993.1,24,987.8,7
2020-12-05,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,7.0,23.5,4.3,00:40,9.8,10:40,27,3.1,19.2,09:10,1001.6,24,992.4,1
2020-12-06,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,7.7,35.5,6.8,02:00,8.6,14:00,28,4.2,17.2,03:40,1004.1,11,999.7,24
2020-12-07,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,10.2,27.6,7.4,01:50,13.0,10:40,28,6.4,22.5,17:20,999.8,0,995.9,21
2020-12-08,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,7.9,10.9,5.7,08:10,10.1,15:10,28,4.4,20.3,00:50,1012.6,24,997.2,0
2020-12-09,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,10.0,5.8,7.4,00:30,12.7,12:50,27,3.6,11.1,07:20,1014.1,-2,1002.4,23
2020-12-10,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,12.8,14.0,10.1,00:10,15.4,01:30,31,6.1,21.4,06:40,1005.6,11,998.0,23
2020-12-11,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,13.8,4.4,11.8,17:50,15.8,09:40,30,7.2,21.1,10:40,1003.5,24,997.7,8
2020-12-12,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,11.6,2.5,9.8,-2,13.3,01:00,30,6.4,19.7,01:10,1011.8,17,1003.5,0
2020-12-13,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,13.9,0.0,8.9,08:00,18.9,23:30,24,1.4,6.9,23:10,1009.5,0,1001.3,21
2020-12-14,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,14.5,3.6,10.1,23:59,18.9,00:20,35,2.8,9.4,15:10,1004.5,22,999.8,14
2020-12-15,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,10.8,0.0,6.3,08:20,15.2,23:59,19,2.5,12.8,23:59,1009.0,10,1001.8,24
2020-12-16,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,12.5,4.4,7.8,23:59,17.2,10:50,27,3.6,17.5,11:20,1015.0,24,999.1,5
2020-12-17,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,11.0,0.0,6.5,05:20,15.6,14:50,22,2.5,5.6,08:20,1018.6,10,1015.0,0
2020-12-18,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,12.4,0.8,7.6,08:00,17.3,23:00,13,0.8,12.2,22:50,1016.6,0,1006.1,20
2020-12-19,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,12.4,0.1,9.0,23:00,15.8,00:10,14,1.7,8.3,01:00,1014.9,24,1005.5,1
2020-12-20,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,11.2,1.1,6.7,05:30,15.6,12:30,16,1.7,8.9,17:00,1018.3,11,1014.8,0
2020-12-21,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,15.8,0.1,11.8,20:30,19.9,12:10,26,1.4,4.4,15:20,1018.4,21,1014.1,2
