fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
2020-12-01,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,4.6,0.1,-1.4,07:50,10.5,15:30,4,0.3,6.1,16:20
2020-12-02,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,4.0,1.7,0.2,07:50,7.8,,4,0.6,6.9,10:10
2020-12-03,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,2.4,7.4,-1.8,07:00,6.7,14:00,24,3.9,13.9,21:40
2020-12-04,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,2.8,0.1,-1.5,23:59,7.0,13:40,22,1.9,8.6,10:50
2020-12-05,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,2.0,1.0,-2.7,05:50,6.6,15:50,25,1.4,8.3,10:40
2020-12-06,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,2.4,5.3,-1.8,03:50,6.5,14:00,24,1.4,8.6,14:00
2020-12-07,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,6.2,5.4,1.3,23:50,11.1,14:50,21,1.1,12.8,12:30
2020-12-08,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,3.6,4.4,0.7,07:50,6.6,14:20,24,0.8,4.2,00:50
2020-12-09,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,4.5,1.0,0.8,02:10,8.2,13:50,22,1.7,9.4,21:10
2020-12-10,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,9.9,5.0,5.8,00:30,14.0,13:50,24,0.8,8.9,21:00
2020-12-11,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,8.8,0.6,1.5,23:50,16.2,12:40,24,1.1,10.0,12:40
2020-12-12,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,7.2,0.0,0.2,08:40,14.2,14:20,8,1.4,6.4,14:40
2020-12-13,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,6.0,0.0,-0.1,04:40,12.1,16:30,22,2.8,11.4,21:10
2020-12-14,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,10.4,5.7,7.9,23:50,13.0,11:50,21,3.3,11.9,12:00
2020-12-15,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,7.8,0.0,5.1,03:00,10.4,14:30,24,3.3,12.2,21:10
2020-12-16,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,8.9,3.8,5.8,-2,12.0,13:10,23,4.2,14.7,11:40
2020-12-17,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,6.3,0.0,1.6,23:59,11.0,13:20,21,1.7,7.5,13:50
2020-12-18,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,4.4,0.8,0.8,03:40,8.0,14:20,24,3.3,12.5,22:30
2020-12-19,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,5.4,0.0,0.0,23:59,10.8,14:00,24,3.1,9.4,00:50
2020-12-20,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,3.4,0.9,-1.6,07:50,8.5,23:59,20,2.5,11.1,20:30
2020-12-21,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,9.9,0.0,8.0,01:20,11.8,14:00,24,2.8,10.6,02:50
2020-12-22,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,13.1,0.0,10.3,00:10,15.9,12:20,23,3.1,9.2,12:20
2020-12-23,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,9.2,0.1,5.6,23:59,12.9,01:10,21,2.8,10.0,04:10
2020-12-24,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,4.6,2.6,-1.2,08:10,10.5,13:50,4,1.1,7.2,14:20
2020-12-25,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,2.6,1.4,-0.1,04:00,5.4,14:50,3,1.1,8.9,15:00
2020-12-26,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,1.4,0.5,-2.9,23:59,5.8,14:00,4,0.8,4.7,04:20
2020-12-27,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,1.6,3.5,-3.2,02:00,6.4,21:50,20,5.0,15.8,17:20
2020-12-28,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,4.0,0.1,-0.6,08:00,8.7,14:50,23,1.9,12.2,16:10
2020-12-29,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,3.6,0.0,-1.3,23:30,8.6,14:50,24,1.4,9.7,06:10
2020-12-30,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,2.0,0.0,-1.4,01:40,5.5,14:40,21,1.1,6.7,23:50
2020-12-31,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,3.4,0.5,0.0,22:30,6.8,13:50,22,3.6,12.2,02:20
