"date","variable","site","2013-2019.vs.2020"
2020-01-01,"no","es0110a",4.33715220949263
2020-01-01,"no","es0115a",47.1660851820157
2020-01-01,"no","es0118a",29.8329209300252
2020-01-01,"no2","es0041a",28.1911262798635
2020-01-01,"no2","es0110a",10.573600552868
2020-01-01,"no2","es0115a",24.3978222613286
2020-01-01,"no2","es0118a",13.1391320244885
2020-01-01,"o3","es0118a",-75.2710743066777
2020-01-01,"pm10","es0041a",68.8313164024771
2020-01-01,"pm10","es0110a",-9.70820939426095
2020-01-01,"pm10","es0118a",79.9323661780605
2020-01-01,"pm2.5","es0110a",38.923193586827
2020-01-01,"pm2.5","es0118a",83.2924740571582
2020-01-02,"no","es0110a",34.4628655261039
2020-01-02,"no","es0115a",52.834839769926
2020-01-02,"no","es0118a",-2.18749736471499
2020-01-02,"no2","es0041a",5.19480519480519
2020-01-02,"no2","es0110a",1.35438962533951
2020-01-02,"no2","es0115a",37.5393458327631
2020-01-02,"no2","es0118a",2.98695604516056
2020-01-02,"o3","es0118a",-79.690999972336
2020-01-02,"pm10","es0041a",52.8925619834711
2020-01-02,"pm10","es0110a",14.653278945717
2020-01-02,"pm10","es0118a",68.913560666138
2020-01-02,"pm2.5","es0110a",36.9418132611637
2020-01-02,"pm2.5","es0118a",48.5964169840598
2020-01-03,"no","es0110a",-4.64240903387704
2020-01-03,"no","es0115a",54.1797197032152
2020-01-03,"no","es0118a",68.4119677790564
2020-01-03,"no2","es0041a",-16.2549800796813
2020-01-03,"no2","es0110a",1.74016215147321
2020-01-03,"no2","es0115a",29.8906897851489
2020-01-03,"no2","es0118a",10.1072134901634
2020-01-03,"o3","es0118a",-88.2875623211177
2020-01-03,"pm10","es0041a",-12.1076233183857
2020-01-03,"pm10","es0110a",-10.4141535987133
2020-01-03,"pm10","es0118a",175.683532242696
2020-01-03,"pm2.5","es0110a",-3.48248701189878
2020-01-03,"pm2.5","es0118a",185.865537321334
2020-01-04,"no","es0110a",-56.4082586677055
2020-01-04,"no","es0115a",-61.7162286768096
2020-01-04,"no","es0118a",-88.720783174856
2020-01-04,"no2","es0041a",-5.70107858243451
2020-01-04,"no2","es0110a",-19.9176338450019
2020-01-04,"no2","es0115a",-28.1189332788393
2020-01-04,"no2","es0118a",-39.062884041024
2020-01-04,"o3","es0118a",44.773281559979
2020-01-04,"pm10","es0041a",-49.9
2020-01-04,"pm10","es0110a",-52.3368878705091
2020-01-04,"pm10","es0118a",-53.6294793460568
2020-01-04,"pm2.5","es0110a",-45.721245498835
2020-01-04,"pm2.5","es0118a",-53.3959458969431
2020-01-05,"no","es0110a",-58.3471074380165
2020-01-05,"no","es0115a",-35.9088163698593
2020-01-05,"no","es0118a",-71.430428283616
2020-01-05,"no2","es0041a",-26.209997355197
2020-01-05,"no2","es0110a",-22.6958525345622
2020-01-05,"no2","es0115a",2.44310121218647
2020-01-05,"no2","es0118a",-29.2470646194269
2020-01-05,"o3","es0118a",3.04212193764277
2020-01-05,"pm10","es0041a",-37.7111066958077
2020-01-05,"pm10","es0110a",-30.3547963206307
2020-01-05,"pm10","es0118a",-38.0387096774194
2020-01-05,"pm2.5","es0110a",-24.2803504380476
2020-01-05,"pm2.5","es0118a",-50.4402054292003
2020-01-06,"no","es0110a",21.5897939156035
2020-01-06,"no","es0115a",-19.2166828612004
2020-01-06,"no","es0118a",-39.9540464641307
2020-01-06,"no2","es0041a",-9.30893026191227
2020-01-06,"no2","es0110a",0.249003984063739
2020-01-06,"no2","es0115a",5.76556365675827
2020-01-06,"no2","es0118a",-9.56007526207329
2020-01-06,"o3","es0118a",-46.9964824539614
2020-01-06,"pm10","es0041a",-20.421052631579
2020-01-06,"pm10","es0110a",-29.1140680086432
2020-01-06,"pm10","es0118a",15.4289178538951
2020-01-06,"pm2.5","es0110a",-13.5708870356331
2020-01-06,"pm2.5","es0118a",-3.4874290348743
2020-01-07,"no","es0110a",56.6760563380282
2020-01-07,"no","es0115a",68.3796195057949
2020-01-07,"no","es0118a",84.2955650722218
2020-01-07,"no2","es0041a",3.30773774365032
2020-01-07,"no2","es0110a",3.20579110651501
2020-01-07,"no2","es0115a",54.60259961645
2020-01-07,"no2","es0118a",30.9579071832091
2020-01-07,"o3","es0118a",-80.9465890523085
2020-01-07,"pm10","es0041a",43.2835820895522
2020-01-07,"pm10","es0110a",16.529742417691
2020-01-07,"pm10","es0118a",81.7565276364869
2020-01-07,"pm2.5","es0110a",12.5557421671396
2020-01-07,"pm2.5","es0118a",42.7751196172249
2020-01-08,"no","es0110a",128.396079860379
2020-01-08,"no","es0115a",45.8398568552897
2020-01-08,"no","es0118a",112.824765063571
2020-01-08,"no2","es0041a",-5.56338791888081
2020-01-08,"no2","es0110a",-8.15743087952265
2020-01-08,"no2","es0115a",43.4133915574964
2020-01-08,"no2","es0118a",42.2571064913025
2020-01-08,"o3","es0118a",-74.799367827102
2020-01-08,"pm10","es0041a",86.7610837438424
2020-01-08,"pm10","es0110a",77.397474694772
2020-01-08,"pm10","es0118a",93.4545454545455
2020-01-08,"pm2.5","es0110a",54.2544368883728
2020-01-08,"pm2.5","es0118a",40.7018707449818
2020-01-09,"no","es0110a",-82.8367103694875
2020-01-09,"no","es0115a",-18.3673287530854
2020-01-09,"no","es0118a",-22.3671947809879
2020-01-09,"no2","es0041a",-12.9674306393245
2020-01-09,"no2","es0110a",-53.3246897573625
2020-01-09,"no2","es0115a",18.0248715717374
2020-01-09,"no2","es0118a",0.0829667150639165
2020-01-09,"o3","es0118a",-49.0904710240825
2020-01-09,"pm10","es0041a",13.5394901796908
2020-01-09,"pm10","es0110a",-52.5757674936179
2020-01-09,"pm10","es0118a",53.1189354033823
2020-01-09,"pm2.5","es0110a",-43.5028248587571
2020-01-09,"pm2.5","es0118a",40.7838070628768
2020-01-10,"no","es0110a",-33.7269885376867
2020-01-10,"no","es0115a",-56.0145256468452
2020-01-10,"no","es0118a",-73.5576923076923
2020-01-10,"no2","es0041a",13.458110516934
2020-01-10,"no2","es0110a",-3.72603919879388
2020-01-10,"no2","es0115a",-21.7817777328345
2020-01-10,"no2","es0118a",-19.2592592592593
2020-01-10,"o3","es0118a",63.4217562944274
2020-01-10,"pm10","es0041a",42.1306408407171
2020-01-10,"pm10","es0110a",37.0734528629266
2020-01-10,"pm10","es0118a",-26.021711366539
2020-01-10,"pm2.5","es0110a",4.84511517077045
2020-01-10,"pm2.5","es0118a",-47.9774223894638
2020-01-11,"no","es0110a",-45.3490251644788
2020-01-11,"no","es0115a",-45.6370471086939
2020-01-11,"no","es0118a",-43.5509736540664
2020-01-11,"no2","es0041a",-20.5260963998157
2020-01-11,"no2","es0110a",-13.2971577743232
2020-01-11,"no2","es0115a",0.720507581460362
2020-01-11,"no2","es0118a",-16.1997885835095
2020-01-11,"o3","es0118a",45.9254458328676
2020-01-11,"pm10","es0041a",11.7496851825941
2020-01-11,"pm10","es0110a",-1.2589258922914
2020-01-11,"pm10","es0118a",-20.6673842841765
2020-01-11,"pm2.5","es0110a",18.8261067021273
2020-01-11,"pm2.5","es0118a",-40.9675384540735
2020-01-12,"no","es0110a",-0.962380551519028
2020-01-12,"no","es0115a",-25.5520254169976
2020-01-12,"no","es0118a",-32.7903986283755
2020-01-12,"no2","es0041a",-22.7177146094593
2020-01-12,"no2","es0110a",-3.68565893808483
2020-01-12,"no2","es0115a",21.1954654757815
2020-01-12,"no2","es0118a",2.34591412742383
2020-01-12,"o3","es0118a",-36.8765077123149
2020-01-12,"pm10","es0041a",-13.4568045950064
2020-01-12,"pm10","es0110a",-9.09918107370337
2020-01-12,"pm10","es0118a",50.9964830011723
2020-01-12,"pm2.5","es0110a",-2.46020917125531
2020-01-12,"pm2.5","es0118a",65.3728949478749
2020-01-13,"no","es0110a",-32.4368993195667
2020-01-13,"no","es0115a",44.1605439192894
2020-01-13,"no","es0118a",65.6637168141593
2020-01-13,"no2","es0041a",-15.4293611980195
2020-01-13,"no2","es0110a",-16.8326907203673
2020-01-13,"no2","es0115a",38.7100536505715
2020-01-13,"no2","es0118a",20.3154745716617
2020-01-13,"o3","es0118a",-69.2050256940584
2020-01-13,"pm10","es0041a",32.2314049586777
2020-01-13,"pm10","es0110a",-28.1722378242627
2020-01-13,"pm10","es0118a",109.745622728774
2020-01-13,"pm2.5","es0110a",-12.6640186606072
2020-01-13,"pm2.5","es0118a",101.029233078408
2020-01-14,"no","es0110a",-71.5448678467183
2020-01-14,"no","es0115a",10.8772210661117
2020-01-14,"no","es0118a",-15.9366887195377
2020-01-14,"no2","es0041a",-80.1285275919312
2020-01-14,"no2","es0110a",-66.8734607351061
2020-01-14,"no2","es0115a",22.3834085536213
2020-01-14,"no2","es0118a",-0.986078886310898
2020-01-14,"o3","es0118a",-39.9423672475489
2020-01-14,"pm10","es0041a",49.1105029079713
2020-01-14,"pm10","es0110a",-39.4836882474079
2020-01-14,"pm10","es0118a",51.4077368795292
2020-01-14,"pm2.5","es0110a",-11.6614236593752
2020-01-14,"pm2.5","es0118a",57.0718122140442
2020-01-15,"no","es0110a",-13.0738700313962
2020-01-15,"no","es0115a",54.1909285933191
2020-01-15,"no","es0118a",-12.4032166452423
2020-01-15,"no2","es0041a",-26.7924706772607
2020-01-15,"no2","es0110a",-21.4556242898624
2020-01-15,"no2","es0115a",58.5602341677592
2020-01-15,"no2","es0118a",21.5854990869146
2020-01-15,"o3","es0118a",-80.8706213048452
2020-01-15,"pm10","es0041a",24.4697361614071
2020-01-15,"pm10","es0110a",26.8303588062148
2020-01-15,"pm10","es0118a",110.785378212088
2020-01-15,"pm2.5","es0110a",-5.60042367271282
2020-01-15,"pm2.5","es0118a",96.175799086758
2020-01-16,"no","es0110a",-59.0762675756285
2020-01-16,"no","es0115a",14.5259734898284
2020-01-16,"no","es0118a",-31.8396846254928
2020-01-16,"no2","es0041a",-57.0663062957196
2020-01-16,"no2","es0110a",-35.9203980099502
2020-01-16,"no2","es0115a",45.0410902130583
2020-01-16,"no2","es0118a",4.68660697275673
2020-01-16,"o3","es0118a",-49.7216265289923
2020-01-16,"pm10","es0041a",-23.0182577646028
2020-01-16,"pm10","es0110a",-48.343058460861
2020-01-16,"pm10","es0118a",138.967310549777
2020-01-16,"pm2.5","es0110a",-40.1316445596888
2020-01-16,"pm2.5","es0118a",82.7092511013216
2020-01-17,"no","es0110a",-32.3446955965624
2020-01-17,"no","es0115a",-55.8594096268061
