"date","variable","site","2013-2019.vs.2020"
2020-01-01,"no","Alcalá de Henares",67.2917575228958
2020-01-01,"no","Alcobendas",76.856504745952
2020-01-01,"no","Alicante",-16.1186824831484
2020-01-01,"no","Almería",-63.8607043827851
2020-01-01,"no","Barcelona",-55.5323969188944
2020-01-01,"no","Bilbao",-2.55259467040674
2020-01-01,"no","Burgos",72.0644951442777
2020-01-01,"no","Cádiz",-49.7416372042426
2020-01-01,"no","Castellón de la Plana",-33.2068985953891
2020-01-01,"no","Córdoba",0.242813033963838
2020-01-01,"no","Elche",-21.6325115896192
2020-01-01,"no","Getafe",160.752217918281
2020-01-01,"no","Gijón",-32.138847589283
2020-01-01,"no","Girona",-26.2151829601311
2020-01-01,"no","Granada",25.8426966292135
2020-01-01,"no","Huelva",NA
2020-01-01,"no","Las Palmas de Gran Canaria",42.9101707498144
2020-01-01,"no","Leganés",56.5970928065598
2020-01-01,"no","León",35.5152807391613
2020-01-01,"no","Lleida",-86.9897959183673
2020-01-01,"no","Madrid",57.0084967921719
2020-01-01,"no","Málaga",53.5441657579062
2020-01-01,"no","Marbella",-38.5964912280702
2020-01-01,"no","Ourense",10.6621922456258
2020-01-01,"no","Oviedo",-14.1464655026276
2020-01-01,"no","Palma",-26.3031537552421
2020-01-01,"no","Pamplona",-48.2386772106398
2020-01-01,"no","Sabadell",-34.6330733853229
2020-01-01,"no","Salamanca",70.117004409365
2020-01-01,"no","San Sebastián",-50.3743315508021
2020-01-01,"no","Santander",-9.82333628641408
2020-01-01,"no","Sevilla",79.7345701189971
2020-01-01,"no","Tarrasa",14.5336225596529
2020-01-01,"no","Valencia",26.814786666825
2020-01-01,"no","Valladolid",-14.4419157783063
2020-01-01,"no","Vigo",60.9395291071139
2020-01-01,"no","Vitoria",8.26888756692446
2020-01-01,"no","Zaragoza",-34.3294150478163
2020-01-01,"no2","Alcalá de Henares",13.316503628905
2020-01-01,"no2","Alcobendas",22.6794258373206
2020-01-01,"no2","Alicante",29.1895902294259
2020-01-01,"no2","Almería",-15.7081624471923
2020-01-01,"no2","Barcelona",-9.06804432057644
2020-01-01,"no2","Bilbao",14.4248326232501
2020-01-01,"no2","Burgos",52.8439772898093
2020-01-01,"no2","Cádiz",-33.9027426069788
2020-01-01,"no2","Castellón de la Plana",-46.3709973079703
2020-01-01,"no2","Córdoba",12.0951110032755
2020-01-01,"no2","Elche",-20.6846187076999
2020-01-01,"no2","Getafe",56.638155448122
2020-01-01,"no2","Gijón",-18.2738592159719
2020-01-01,"no2","Girona",-32.2537370640092
2020-01-01,"no2","Granada",27.576567569222
2020-01-01,"no2","Huelva",NA
2020-01-01,"no2","Las Palmas de Gran Canaria",-22.7893970953291
2020-01-01,"no2","Leganés",16.9196798233508
2020-01-01,"no2","León",15.1884255108666
2020-01-01,"no2","Lleida",-58.4126984126984
2020-01-01,"no2","Madrid",26.6620626126153
2020-01-01,"no2","Málaga",53.4693349295456
2020-01-01,"no2","Marbella",-26.4816204051013
2020-01-01,"no2","Ourense",-2.44430072013747
2020-01-01,"no2","Oviedo",5.63649151009746
2020-01-01,"no2","Palma",-8.15289022782903
2020-01-01,"no2","Pamplona",-6.23655913978495
2020-01-01,"no2","Sabadell",-29.6349942062572
2020-01-01,"no2","Salamanca",65.2836158714028
2020-01-01,"no2","San Sebastián",-0.0180310133429488
2020-01-01,"no2","Santander",8.14653138272771
2020-01-01,"no2","Sevilla",23.6263327854907
2020-01-01,"no2","Tarrasa",-24.4864952288533
2020-01-01,"no2","Valencia",1.24163441689641
2020-01-01,"no2","Valladolid",15.1921660728858
2020-01-01,"no2","Vigo",17.3971023675374
2020-01-01,"no2","Vitoria",41.1829689298044
2020-01-01,"no2","Zaragoza",9.02958626874097
2020-01-01,"o3","Alcalá de Henares",-69.0968003240178
2020-01-01,"o3","Alcobendas",-70.3567318757192
2020-01-01,"o3","Alicante",-21.4050267820354
2020-01-01,"o3","Almería",-35.1710713483567
2020-01-01,"o3","Barcelona",-38.8038942976356
2020-01-01,"o3","Cádiz",0.203825650674196
2020-01-01,"o3","Castellón de la Plana",-34.1601464957549
2020-01-01,"o3","Elche",-31.1579973441076
2020-01-01,"o3","Getafe",-72.8935698447894
2020-01-01,"o3","Gijón",11.4251292605793
2020-01-01,"o3","Las Palmas de Gran Canaria",52.062527138515
2020-01-01,"o3","Leganés",-82.4008690928843
2020-01-01,"o3","Lleida",162.162162162162
2020-01-01,"o3","Madrid",-77.8331022344219
2020-01-01,"o3","Marbella",-88.0335061826885
2020-01-01,"o3","Ourense",-71.0805366576717
2020-01-01,"o3","Oviedo",-7.08606982371241
2020-01-01,"o3","Palma",-30.9656661100476
2020-01-01,"o3","Pamplona",-43.2704727460604
2020-01-01,"o3","Sabadell",-40.8817635270541
2020-01-01,"o3","San Sebastián",-20.7927800389312
2020-01-01,"o3","Sevilla",-54.829095209935
2020-01-01,"o3","Tarrasa",-30.8900523560209
2020-01-01,"o3","Valencia",-46.2052107553807
2020-01-01,"o3","Valladolid",-86.7684478371501
2020-01-01,"o3","Vigo",-68.1035321591904
2020-01-01,"o3","Zaragoza",-45.4420600822472
2020-01-01,"pm10","Alcalá de Henares",28.6157666045934
2020-01-01,"pm10","Alcobendas",72.057129693619
2020-01-01,"pm10","Bilbao",-11.2809493061216
2020-01-01,"pm10","Burgos",127.720464665546
2020-01-01,"pm10","Getafe",45.6607266836381
2020-01-01,"pm10","Gijón",28.7975860791502
2020-01-01,"pm10","Huelva",NA
2020-01-01,"pm10","Las Palmas de Gran Canaria",103.002940487653
2020-01-01,"pm10","Leganés",119.93698582181
2020-01-01,"pm10","León",68.1678412041302
2020-01-01,"pm10","Madrid",80.6312157285974
2020-01-01,"pm10","Marbella",-17.9956960311146
2020-01-01,"pm10","Ourense",3.65245314411506
2020-01-01,"pm10","Oviedo",21.6292451778119
2020-01-01,"pm10","Palma",-13.6381538902216
2020-01-01,"pm10","Pamplona",13.3611772782352
2020-01-01,"pm10","Salamanca",3.28224794507028
2020-01-01,"pm10","San Sebastián",-1.32712857635298
2020-01-01,"pm10","Santander",35.1421764393329
2020-01-01,"pm10","Valencia",190.684210526316
2020-01-01,"pm10","Valladolid",21.8080406450188
2020-01-01,"pm10","Vigo",-13.0674171051022
2020-01-01,"pm10","Vitoria",-8.53189853958494
2020-01-01,"pm10","Zaragoza",-18.3263244973797
2020-01-01,"pm2.5","Bilbao",38.923193586827
2020-01-01,"pm2.5","Gijón",67.7566225165563
2020-01-01,"pm2.5","Las Palmas de Gran Canaria",39.8820493918172
2020-01-01,"pm2.5","Madrid",107.27116575894
2020-01-01,"pm2.5","Ourense",14.6837836521541
2020-01-01,"pm2.5","Oviedo",-18.2654402102497
2020-01-01,"pm2.5","San Sebastián",37.7955880019045
2020-01-01,"pm2.5","Valencia",240.215398716774
2020-01-01,"pm2.5","Valladolid",-18.0066018782218
2020-01-01,"pm2.5","Vigo",33.1567328918322
2020-01-01,"pm2.5","Vitoria",33.3296112898169
2020-01-02,"no","Alcalá de Henares",68.8063370663753
2020-01-02,"no","Alcobendas",191.07198248335
2020-01-02,"no","Alicante",-70.0086882252459
2020-01-02,"no","Almería",-9.09090909090909
2020-01-02,"no","Barcelona",-68.089750748769
2020-01-02,"no","Bilbao",34.4768828808361
2020-01-02,"no","Burgos",-23.3090810110938
2020-01-02,"no","Cádiz",-23.5422223075004
2020-01-02,"no","Castellón de la Plana",-54.1817838501275
2020-01-02,"no","Córdoba",60.2152264696434
2020-01-02,"no","Elche",-32.6530612244898
2020-01-02,"no","Getafe",146.39892578125
2020-01-02,"no","Gijón",49.1045354155982
2020-01-02,"no","Girona",-33.8749864586719
2020-01-02,"no","Granada",12.7032824503642
2020-01-02,"no","Huelva",67.0237299237204
2020-01-02,"no","Las Palmas de Gran Canaria",-55.4865348239849
2020-01-02,"no","Leganés",154.079422382671
2020-01-02,"no","León",26.7938204465136
2020-01-02,"no","Lleida",-79.2686612269568
2020-01-02,"no","Madrid",50.6996496056355
2020-01-02,"no","Málaga",17.9585941261435
2020-01-02,"no","Marbella",-1.98178896625602
2020-01-02,"no","Ourense",79.5393832099737
2020-01-02,"no","Oviedo",29.4202794525792
2020-01-02,"no","Palma",-49.3084747460847
2020-01-02,"no","Pamplona",-56.2200956937799
2020-01-02,"no","Sabadell",-8.77273398230226
2020-01-02,"no","Salamanca",159.338610621933
2020-01-02,"no","San Sebastián",-4.50989415554533
2020-01-02,"no","Santander",51.9750347783585
2020-01-02,"no","Sevilla",113.151169648123
2020-01-02,"no","Tarrasa",19.4156922316035
2020-01-02,"no","Valencia",-6.86436651866564
2020-01-02,"no","Valladolid",28.1719013104912
2020-01-02,"no","Vigo",-17.5013462551831
2020-01-02,"no","Vitoria",-32.4894514767932
2020-01-02,"no","Zaragoza",-16.0278681699506
2020-01-02,"no2","Alcalá de Henares",8.60661606759272
2020-01-02,"no2","Alcobendas",48.6158329286061
2020-01-02,"no2","Alicante",-14.6701212754999
2020-01-02,"no2","Almería",-18.6113896222163
2020-01-02,"no2","Barcelona",-28.1086781840097
2020-01-02,"no2","Bilbao",6.84818708313891
2020-01-02,"no2","Burgos",26.483391545718
2020-01-02,"no2","Cádiz",-16.8928863450532
2020-01-02,"no2","Castellón de la Plana",-39.0249469528536
2020-01-02,"no2","Córdoba",-0.725825333645515
2020-01-02,"no2","Elche",-16.6349325538362
2020-01-02,"no2","Getafe",45.8513771002945
2020-01-02,"no2","Gijón",3.49432256225107
2020-01-02,"no2","Girona",-41.7502278942571
2020-01-02,"no2","Granada",22.9775710020138
2020-01-02,"no2","Huelva",83.8142983527826
2020-01-02,"no2","Las Palmas de Gran Canaria",-33.7892222437249
2020-01-02,"no2","Leganés",35.8753587535875
2020-01-02,"no2","León",-9.03016480859462
2020-01-02,"no2","Lleida",-33.8492871690428
2020-01-02,"no2","Madrid",27.5290735923726
2020-01-02,"no2","Málaga",6.349538977368
2020-01-02,"no2","Marbella",2.55227552275524
2020-01-02,"no2","Ourense",-13.7786718459574
2020-01-02,"no2","Oviedo",14.9916186866846
2020-01-02,"no2","Palma",-29.6800236290243
2020-01-02,"no2","Pamplona",-50.204033355018
2020-01-02,"no2","Sabadell",-27.0327286773336
2020-01-02,"no2","Salamanca",75.2507014061376
2020-01-02,"no2","San Sebastián",6.82634730538922
2020-01-02,"no2","Santander",-13.124036961593
2020-01-02,"no2","Sevilla",8.31426635139757
2020-01-02,"no2","Tarrasa",-21.4327853905768
2020-01-02,"no2","Valencia",-17.9698296170925
2020-01-02,"no2","Valladolid",6.59681385651664
2020-01-02,"no2","Vigo",26.6125085649757
2020-01-02,"no2","Vitoria",-8.49767458629268
2020-01-02,"no2","Zaragoza",2.48241507007149
2020-01-02,"o3","Alcalá de Henares",-84.1917873249466
2020-01-02,"o3","Alcobendas",-81.2448409555176
2020-01-02,"o3","Alicante",15.6677181913775
2020-01-02,"o3","Almería",0.821652283594748
2020-01-02,"o3","Barcelona",34.9264705882353
2020-01-02,"o3","Cádiz",-7.70517224864279
2020-01-02,"o3","Castellón de la Plana",-20.0172860847018
2020-01-02,"o3","Elche",-27.9845335911068
2020-01-02,"o3","Getafe",-74.1935483870968
2020-01-02,"o3","Gijón",-57.9584277914365
2020-01-02,"o3","Las Palmas de Gran Canaria",60.472507946042
2020-01-02,"o3","Leganés",-88.100793280448
2020-01-02,"o3","Lleida",28.7569573283859
2020-01-02,"o3","Madrid",-85.6703621054066
2020-01-02,"o3","Marbella",NA
2020-01-02,"o3","Ourense",-89.1762814449004
2020-01-02,"o3","Oviedo",-44.165435745938
2020-01-02,"o3","Palma",8.88119953863899
2020-01-02,"o3","Pamplona",-60.7618173474071
2020-01-02,"o3","Sabadell",-44.3271767810026
2020-01-02,"o3","San Sebastián",-78.5282559693603
2020-01-02,"o3","Sevilla",-25.4393400011301
2020-01-02,"o3","Tarrasa",-57.1004662992794
2020-01-02,"o3","Valencia",-39.9429826251108
2020-01-02,"o3","Valladolid",-83.9845382365232
2020-01-02,"o3","Vigo",-55.84519918001
2020-01-02,"o3","Zaragoza",-71.1895474510244
2020-01-02,"pm10","Alcalá de Henares",61.5310389192666
2020-01-02,"pm10","Alcobendas",97.9445015416239
2020-01-02,"pm10","Bilbao",7.52415341075437
2020-01-02,"pm10","Burgos",134.906223991878
2020-01-02,"pm10","Getafe",100.117068602201
2020-01-02,"pm10","Gijón",38.0499276422731
2020-01-02,"pm10","Huelva",-37.6314000100398
2020-01-02,"pm10","Las Palmas de Gran Canaria",101.856639247944
2020-01-02,"pm10","Leganés",151.143099068586
2020-01-02,"pm10","León",59.0947010475551
2020-01-02,"pm10","Madrid",87.5
2020-01-02,"pm10","Marbella",7.57986740215263
2020-01-02,"pm10","Ourense",66.9646119961679
2020-01-02,"pm10","Oviedo",37.0077618760553
2020-01-02,"pm10","Palma",-5.60701149564816
2020-01-02,"pm10","Pamplona",-45.2173913043478
2020-01-02,"pm10","Salamanca",27.4172629146074
2020-01-02,"pm10","San Sebastián",2.87171736255431
2020-01-02,"pm10","Santander",56.816796837051
2020-01-02,"pm10","Valencia",133.525061626952
2020-01-02,"pm10","Valladolid",62.1284443480147
2020-01-02,"pm10","Vigo",8.28723515431958
2020-01-02,"pm10","Vitoria",-18.6983679226274
2020-01-02,"pm10","Zaragoza",7.57808825204022
2020-01-02,"pm2.5","Bilbao",36.9418132611637
2020-01-02,"pm2.5","Gijón",81.0923644895284
2020-01-02,"pm2.5","Las Palmas de Gran Canaria",577.942428887753
2020-01-02,"pm2.5","Madrid",102.010340933854
2020-01-02,"pm2.5","Ourense",106.229060682621
2020-01-02,"pm2.5","Oviedo",95.0520833333333
2020-01-02,"pm2.5","San Sebastián",27.809607756721
2020-01-02,"pm2.5","Valencia",247.486680565207
2020-01-02,"pm2.5","Valladolid",11.9268078316399
2020-01-02,"pm2.5","Vigo",147.805885389778
2020-01-02,"pm2.5","Vitoria",-5.27110708352212
2020-01-03,"no","Alcalá de Henares",-13.4384384384384
2020-01-03,"no","Alcobendas",37.9274877860632
2020-01-03,"no","Alicante",3.25817680077769
2020-01-03,"no","Almería",-30.3312244138444
2020-01-03,"no","Barcelona",-16.6108125197597
2020-01-03,"no","Bilbao",-7.36522399392559
2020-01-03,"no","Burgos",-85.6832971800434
2020-01-03,"no","Cádiz",-12.6482213438735
2020-01-03,"no","Castellón de la Plana",-19.6745283729053
2020-01-03,"no","Córdoba",21.1864406779661
2020-01-03,"no","Elche",11.7083333333333
2020-01-03,"no","Getafe",63.2849209739428
2020-01-03,"no","Gijón",40.6538117899032
