"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"pre.lckdwn","es0041a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0041a","no2",-56.7828581601977,7.22895476338904
"fases","es0041a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0041a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0041a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0041a","pm10",27.6428454279489,87.1349078155985
"lckdwn","es0041a","pm10",-17.4353539914274,22.8474726632865
"fases","es0041a","pm10",-12.8138834474114,18.3153979702503
"normalidad","es0041a","pm10",-12.6985260320198,19.0622106952185
"new.lockdown","es0041a","pm10",-13.764704235169,32.6569448301589
"pre.lckdwn","es0110a","no",-6.20863754387483,37.4436200407494
"lckdwn","es0110a","no",-68.5237923528795,6.65328800379727
"fases","es0110a","no",-52.9850429426507,8.94132481851051
"normalidad","es0110a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es0110a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es0110a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0110a","no2",-56.7828581601977,7.22895476338904
"fases","es0110a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0110a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0110a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0110a","pm10",27.6428454279489,87.1349078155985
"lckdwn","es0110a","pm10",-17.4353539914274,22.8474726632865
"fases","es0110a","pm10",-12.8138834474114,18.3153979702503
"normalidad","es0110a","pm10",-12.6985260320198,19.0622106952185
"new.lockdown","es0110a","pm10",-13.764704235169,32.6569448301589
"pre.lckdwn","es0110a","pm2.5",23.4872611766511,88.3337278908206
"lckdwn","es0110a","pm2.5",-6.5135912625108,54.4353958586197
"fases","es0110a","pm2.5",16.1849316335236,423.801284194779
"normalidad","es0110a","pm2.5",-10.0591734480726,267.033832315123
"new.lockdown","es0110a","pm2.5",-22.7747289199417,39.830453142021
"pre.lckdwn","es0115a","no",-6.20863754387483,37.4436200407494
"lckdwn","es0115a","no",-68.5237923528795,6.65328800379727
"fases","es0115a","no",-52.9850429426507,8.94132481851051
"normalidad","es0115a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es0115a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es0115a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0115a","no2",-56.7828581601977,7.22895476338904
"fases","es0115a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0115a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0115a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0118a","no",-6.20863754387483,37.4436200407494
"lckdwn","es0118a","no",-68.5237923528795,6.65328800379727
"fases","es0118a","no",-52.9850429426507,8.94132481851051
"normalidad","es0118a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es0118a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es0118a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0118a","no2",-56.7828581601977,7.22895476338904
"fases","es0118a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0118a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0118a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0118a","o3",-14.5913176081527,19.3866911346012
"lckdwn","es0118a","o3",3.93223007424111,8.04139373490991
"fases","es0118a","o3",-2.06669028365386,4.97854309647482
"normalidad","es0118a","o3",3.08858314902664,2.77705729155376
"new.lockdown","es0118a","o3",13.9613080907046,19.1591105631496
"pre.lckdwn","es0118a","pm10",27.6428454279489,87.1349078155985
"lckdwn","es0118a","pm10",-17.4353539914274,22.8474726632865
"fases","es0118a","pm10",-12.8138834474114,18.3153979702503
"normalidad","es0118a","pm10",-12.6985260320198,19.0622106952185
"new.lockdown","es0118a","pm10",-13.764704235169,32.6569448301589
"pre.lckdwn","es0118a","pm2.5",23.4872611766511,88.3337278908206
"lckdwn","es0118a","pm2.5",-6.5135912625108,54.4353958586197
"fases","es0118a","pm2.5",16.1849316335236,423.801284194779
"normalidad","es0118a","pm2.5",-10.0591734480726,267.033832315123
"new.lockdown","es0118a","pm2.5",-22.7747289199417,39.830453142021
"pre.lckdwn","es0120a","no",-6.20863754387483,37.4436200407494
"lckdwn","es0120a","no",-68.5237923528795,6.65328800379727
"fases","es0120a","no",-52.9850429426507,8.94132481851051
"normalidad","es0120a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es0120a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es0120a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0120a","no2",-56.7828581601977,7.22895476338904
"fases","es0120a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0120a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0120a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0817a","no",-6.20863754387483,37.4436200407494
"lckdwn","es0817a","no",-68.5237923528795,6.65328800379727
"fases","es0817a","no",-52.9850429426507,8.94132481851051
"normalidad","es0817a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es0817a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es0817a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0817a","no2",-56.7828581601977,7.22895476338904
"fases","es0817a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0817a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0817a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0890a","no",-6.20863754387483,37.4436200407494
"lckdwn","es0890a","no",-68.5237923528795,6.65328800379727
"fases","es0890a","no",-52.9850429426507,8.94132481851051
"normalidad","es0890a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es0890a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es0890a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es0890a","no2",-56.7828581601977,7.22895476338904
"fases","es0890a","no2",-46.0515161209405,7.00917682478896
"normalidad","es0890a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es0890a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es0890a","o3",-14.5913176081527,19.3866911346012
"lckdwn","es0890a","o3",3.93223007424111,8.04139373490991
"fases","es0890a","o3",-2.06669028365386,4.97854309647482
"normalidad","es0890a","o3",3.08858314902664,2.77705729155376
"new.lockdown","es0890a","o3",13.9613080907046,19.1591105631496
"pre.lckdwn","es1018a","no",-6.20863754387483,37.4436200407494
"lckdwn","es1018a","no",-68.5237923528795,6.65328800379727
"fases","es1018a","no",-52.9850429426507,8.94132481851051
"normalidad","es1018a","no",-36.2231445445974,11.8134846259603
"new.lockdown","es1018a","no",-46.8615173128539,19.3480848851441
"pre.lckdwn","es1018a","no2",-9.07208567754551,15.9944384546436
"lckdwn","es1018a","no2",-56.7828581601977,7.22895476338904
"fases","es1018a","no2",-46.0515161209405,7.00917682478896
"normalidad","es1018a","no2",-25.150952503062,10.0786950269212
"new.lockdown","es1018a","no2",-28.0449709529169,12.2018215464881
"pre.lckdwn","es1018a","o3",-14.5913176081527,19.3866911346012
"lckdwn","es1018a","o3",3.93223007424111,8.04139373490991
"fases","es1018a","o3",-2.06669028365386,4.97854309647482
"normalidad","es1018a","o3",3.08858314902664,2.77705729155376
"new.lockdown","es1018a","o3",13.9613080907046,19.1591105631496
