"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"pre.lckdwn","Alcalá de Henares","no",-2.79770248982698,32.3852188948086
"lckdwn","Alcalá de Henares","no",-72.8132255285451,14.5164884875295
"fases","Alcalá de Henares","no",-57.4587760881118,11.1394112604211
"normalidad","Alcalá de Henares","no",-37.0683536576005,24.4854211757712
"new.lockdown","Alcalá de Henares","no",-58.4024306701136,20.128334500495
"pre.lckdwn","Alcalá de Henares","no2",-3.96003264543156,18.6326826322943
"lckdwn","Alcalá de Henares","no2",-50.9797622654191,11.3313428527314
"fases","Alcalá de Henares","no2",-41.4216485556585,18.6092284207302
"normalidad","Alcalá de Henares","no2",-19.4124808149013,16.6075446081834
"new.lockdown","Alcalá de Henares","no2",-34.4388234975279,11.4274909220709
"pre.lckdwn","Alcalá de Henares","o3",-24.4107230068801,26.5046261216567
"lckdwn","Alcalá de Henares","o3",0.965863622027487,7.4736213893956
"fases","Alcalá de Henares","o3",-0.484752169683392,6.34646022112388
"normalidad","Alcalá de Henares","o3",2.20095059300392,-1.00872077370319
"new.lockdown","Alcalá de Henares","o3",0.873313475640801,31.6980528873193
"pre.lckdwn","Alcalá de Henares","pm10",40.5034535182123,45.4207828744166
"lckdwn","Alcalá de Henares","pm10",-25.38577074435,24.6947348813037
"fases","Alcalá de Henares","pm10",-19.6660896141272,20.7289017259886
"normalidad","Alcalá de Henares","pm10",-13.6634041919816,23.5693708935733
"new.lockdown","Alcalá de Henares","pm10",-7.92747701788529,32.2794749328697
"pre.lckdwn","Alcobendas","no",2.19583754638267,57.4254324315003
"lckdwn","Alcobendas","no",-73.938363018623,4.57376620926789
"fases","Alcobendas","no",-56.2055776011809,2.44655635096485
"normalidad","Alcobendas","no",-33.1347489885836,10.9482543549716
"new.lockdown","Alcobendas","no",-60.3039700901369,21.9180841121893
"pre.lckdwn","Alcobendas","no2",-3.33718275714108,28.0650420412248
"lckdwn","Alcobendas","no2",-55.309669692707,4.63957127722685
"fases","Alcobendas","no2",-45.2906208906382,12.3842456423794
"normalidad","Alcobendas","no2",-22.809905344413,15.6268251701436
"new.lockdown","Alcobendas","no2",-35.4173778933088,16.2973174301574
"pre.lckdwn","Alcobendas","o3",-21.1724709325353,29.1343136570147
"lckdwn","Alcobendas","o3",0.924363639576674,4.59958616081278
"fases","Alcobendas","o3",-2.53330005835525,5.44762547254623
"normalidad","Alcobendas","o3",1.63237976490031,-0.776765572776072
"new.lockdown","Alcobendas","o3",15.7682770778949,37.5998449069607
"pre.lckdwn","Alcobendas","pm10",45.4647855915424,32.9949515379778
"lckdwn","Alcobendas","pm10",-18.2714000135765,26.8169577108283
"fases","Alcobendas","pm10",-12.1937381892576,22.6942219744444
"normalidad","Alcobendas","pm10",-14.5334363146359,26.2740257505051
"new.lockdown","Alcobendas","pm10",-16.0668050035917,34.2370750503939
"pre.lckdwn","Alicante","no",-5.98968812379365,51.6324216897652
"lckdwn","Alicante","no",-67.1980034857897,-2.99042095237678
"fases","Alicante","no",-52.5984371827119,-2.34625333351107
"normalidad","Alicante","no",-41.8817849614193,17.6052979586291
"new.lockdown","Alicante","no",-60.8289393176672,20.7633863973274
"pre.lckdwn","Alicante","no2",9.46184597422579,18.4411843214259
"lckdwn","Alicante","no2",-67.7469563785304,6.81641397449073
"fases","Alicante","no2",-47.9211812487111,11.7539209575147
"normalidad","Alicante","no2",-24.0309431779145,14.3232748355547
"new.lockdown","Alicante","no2",-39.2077788445092,17.6159325460186
"pre.lckdwn","Alicante","o3",-7.45757765670217,13.3666019389843
"lckdwn","Alicante","o3",8.49145583525977,7.36562957856821
"fases","Alicante","o3",-0.0379560535738406,11.3861046719323
"normalidad","Alicante","o3",-9.63917844460673,9.52759845757238
"new.lockdown","Alicante","o3",18.9080822701368,10.8664394877921
"pre.lckdwn","Almería","no",7.63071500474187,48.6567354877498
"lckdwn","Almería","no",-58.4423717284724,3.35438377054431
"fases","Almería","no",-29.4627210410111,11.3033730427879
"normalidad","Almería","no",-26.9883309474078,19.5839930246247
"new.lockdown","Almería","no",-40.0990966910948,20.3901462492401
"pre.lckdwn","Almería","no2",-2.62850382644742,15.3794065500002
"lckdwn","Almería","no2",-62.7519896045837,7.94248612899054
"fases","Almería","no2",-29.7794271483555,16.4164900042819
"normalidad","Almería","no2",-20.3624124649429,16.5012305530238
"new.lockdown","Almería","no2",-9.52707064843175,12.4739752771168
"pre.lckdwn","Almería","o3",-17.4371871825497,18.7173239188828
"lckdwn","Almería","o3",12.7703828726427,4.37555586504747
"fases","Almería","o3",1.93598353192476,10.6837072732261
"normalidad","Almería","o3",4.74538277257836,6.94782218968073
"new.lockdown","Almería","o3",6.6303127012939,16.0746535223922
"pre.lckdwn","Barcelona","no",-17.1570630854274,40.4832259091945
"lckdwn","Barcelona","no",-81.0410143904334,4.9883857362092
"fases","Barcelona","no",-67.2731191326806,16.0670522298418
"normalidad","Barcelona","no",-46.1055269698188,14.5891263765228
"new.lockdown","Barcelona","no",-54.0556467410294,29.4719391345948
"pre.lckdwn","Barcelona","no2",-14.3008950373658,17.9662320441159
"lckdwn","Barcelona","no2",-62.5585403315983,8.94974899342986
"fases","Barcelona","no2",-54.7976814994339,13.7266307306795
"normalidad","Barcelona","no2",-32.8107967538821,13.839195514735
"new.lockdown","Barcelona","no2",-32.1384688210734,20.0019147656441
"pre.lckdwn","Barcelona","o3",-1.55107099575362,10.9549352155414
"lckdwn","Barcelona","o3",21.5263501428096,-2.21565420538505
"fases","Barcelona","o3",10.4896107172499,3.88770687363984
"normalidad","Barcelona","o3",-2.12611161829981,-1.74919128826712
"new.lockdown","Barcelona","o3",18.9108076027419,15.2161828119823
"pre.lckdwn","Bilbao","no",-19.0235552489436,40.2403808540944
"lckdwn","Bilbao","no",-59.4150536644086,19.541029470188
"fases","Bilbao","no",-45.6130021559782,17.0630376579423
"normalidad","Bilbao","no",-48.3604069033967,17.2083495366018
"new.lockdown","Bilbao","no",-58.3865576300683,33.6489710548572
"pre.lckdwn","Bilbao","no2",-21.4802618418668,18.6708970312717
"lckdwn","Bilbao","no2",-51.0063018675365,15.0591655565814
"fases","Bilbao","no2",-38.0904385395071,17.6718716023328
"normalidad","Bilbao","no2",-28.9787250904603,15.3669865813301
"new.lockdown","Bilbao","no2",-32.9205871384283,21.3185564441916
"pre.lckdwn","Bilbao","pm10",20.5193231535696,46.0179645417411
"lckdwn","Bilbao","pm10",-4.9626029340805,29.8234584392161
"fases","Bilbao","pm10",-15.8785988750625,23.5031721041389
"normalidad","Bilbao","pm10",-31.4844940490808,21.3969576293877
"new.lockdown","Bilbao","pm10",-24.8365300624945,35.61005878016
"pre.lckdwn","Bilbao","pm2.5",4.10896238319889,30.2090095578234
"lckdwn","Bilbao","pm2.5",-1.95554144332485,20.6261502914522
"fases","Bilbao","pm2.5",-13.7003733177901,27.9219881852777
"normalidad","Bilbao","pm2.5",-24.0059162524338,23.7219072961861
"new.lockdown","Bilbao","pm2.5",-31.2847290793588,30.5287874979112
"pre.lckdwn","Burgos","no",-29.3132715327193,52.8312959353653
"lckdwn","Burgos","no",0.0792276892090106,-18.9192390302675
"fases","Burgos","no",50.9433910943402,-5.42152573698273
"normalidad","Burgos","no",40.9168935823191,-30.288496667335
"new.lockdown","Burgos","no",-6.32347808541428,11.3210899321344
"pre.lckdwn","Burgos","no2",-11.5908001379624,22.1221302059469
"lckdwn","Burgos","no2",-45.3759642501938,11.6904114891894
"fases","Burgos","no2",-38.1764157506354,15.3096281227871
"normalidad","Burgos","no2",-14.6361183610506,14.766573574004
"new.lockdown","Burgos","no2",-18.7567461209727,23.160849767043
"pre.lckdwn","Burgos","pm10",62.7658831410793,35.6553876353404
"lckdwn","Burgos","pm10",-16.1447642025377,31.0080122271205
"fases","Burgos","pm10",-7.94015118115515,29.5981325403118
"normalidad","Burgos","pm10",-15.0012239802639,31.11983345252
"new.lockdown","Burgos","pm10",-34.3559289671297,39.2938170764723
"pre.lckdwn","Cádiz","no",-33.3150666397314,31.8163317943918
"lckdwn","Cádiz","no",-64.13434854212,9.39688256222429
"fases","Cádiz","no",-52.7592254311942,15.1990447195211
"normalidad","Cádiz","no",-12.5992269774793,28.9452073202951
"new.lockdown","Cádiz","no",-30.2887953351038,36.533425316458
"pre.lckdwn","Cádiz","no2",-27.0724300840174,25.5283297200702
"lckdwn","Cádiz","no2",-73.8520590811326,10.5306999795744
"fases","Cádiz","no2",-66.3549833530823,17.3456214657476
"normalidad","Cádiz","no2",-21.5105107098451,23.8379031306157
"new.lockdown","Cádiz","no2",-27.4000264013734,31.895201070556
"pre.lckdwn","Cádiz","o3",-10.0172884093607,26.1723309782647
"lckdwn","Cádiz","o3",7.40279317385184,6.33421557836181
"fases","Cádiz","o3",-15.1743318923354,7.36369833806793
"normalidad","Cádiz","o3",-2.69952631656188,9.12282524011423
"new.lockdown","Cádiz","o3",7.03909508966025,13.6842875106266
"pre.lckdwn","Castellón de la Plana","no",8.43660557614358,30.079493424902
"lckdwn","Castellón de la Plana","no",-18.4033001543805,7.51379461608134
"fases","Castellón de la Plana","no",-5.36223831243893,10.6088654045403
"normalidad","Castellón de la Plana","no",-15.5093894154291,1.87164779077103
"new.lockdown","Castellón de la Plana","no",-34.8345678198502,33.9298892876345
"pre.lckdwn","Castellón de la Plana","no2",-20.7389482430973,23.6007586070136
"lckdwn","Castellón de la Plana","no2",-46.2461524429268,13.0945939197162
"fases","Castellón de la Plana","no2",-42.4562251970129,22.5096383567218
"normalidad","Castellón de la Plana","no2",-13.9685024023608,6.86136419147015
"new.lockdown","Castellón de la Plana","no2",-23.3079745707928,26.6676420426504
"pre.lckdwn","Castellón de la Plana","o3",-23.3310284142651,14.2146685685142
"lckdwn","Castellón de la Plana","o3",-5.10536546395405,7.60899975799213
"fases","Castellón de la Plana","o3",-12.6502130861857,7.75986102059502
"normalidad","Castellón de la Plana","o3",-2.48152546715143,9.74073299756416
"new.lockdown","Castellón de la Plana","o3",-6.43005814560148,26.2562375736974
"pre.lckdwn","Córdoba","no",-28.1302516260249,15.6284214875123
"lckdwn","Córdoba","no",-72.8951356558694,4.48123337617023
"fases","Córdoba","no",-49.0820093743637,8.39238401335682
"normalidad","Córdoba","no",-29.7761835794934,13.5486962803504
"new.lockdown","Córdoba","no",-44.9152098386215,16.2051043748828
"pre.lckdwn","Córdoba","no2",-19.4847164283147,12.5204494836405
"lckdwn","Córdoba","no2",-69.5594653885138,7.63106677258415
"fases","Córdoba","no2",-48.9177801463861,17.8235216658856
"normalidad","Córdoba","no2",-20.0327693123262,11.9377818708223
"new.lockdown","Córdoba","no2",-32.6247396738592,11.4831193173218
"pre.lckdwn","Elche","no",-22.1189269388261,8.25082592422939
"lckdwn","Elche","no",-42.6197747420325,5.67780868171822
