"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"pre.lckdwn","es0041a","no2",-27.0757640510929,18.3502395884328
"lckdwn","es0041a","no2",-54.4640584904261,15.8049924762943
"fases","es0041a","no2",-48.9087655190442,16.3044469368966
"normalidad","es0041a","no2",-24.3401291168487,13.8931455002941
"new.lockdown","es0041a","no2",-32.4945264007154,18.509833058166
"pre.lckdwn","es0041a","pm10",20.8492808578503,37.8673241257752
"lckdwn","es0041a","pm10",-2.25094097691311,28.375629938844
"fases","es0041a","pm10",-16.679592966743,19.2572640179114
"normalidad","es0041a","pm10",-26.7717503494369,22.221852777805
"new.lockdown","es0041a","pm10",-24.0304045422796,35.8059394816117
"pre.lckdwn","es0110a","no",-9.82982161560274,51.0632585684584
"lckdwn","es0110a","no",-47.3041271501809,12.5844965819555
"fases","es0110a","no",-30.6557373093716,18.961290861637
"normalidad","es0110a","no",-38.4651167172584,17.5893157892815
"new.lockdown","es0110a","no",-55.1247036815416,40.5792422951855
"pre.lckdwn","es0110a","no2",-16.8330970174367,18.7979238218068
"lckdwn","es0110a","no2",-48.3880483048299,10.5666876185647
"fases","es0110a","no2",-27.8541242145379,18.2182940129806
"normalidad","es0110a","no2",-32.1373126190079,15.2542061765509
"new.lockdown","es0110a","no2",-36.9027291887686,26.3613627454646
"pre.lckdwn","es0110a","pm10",18.1149488057027,44.4007834333806
"lckdwn","es0110a","pm10",-15.3600366220457,24.4625739919022
"fases","es0110a","pm10",-24.8811866287856,23.3498667415779
"normalidad","es0110a","pm10",-35.7129580812838,23.815683241972
"new.lockdown","es0110a","pm10",-26.3294083772275,39.8416768839064
"pre.lckdwn","es0110a","pm2.5",4.10896238319889,30.2090095578234
"lckdwn","es0110a","pm2.5",-1.95554144332485,20.6261502914522
"fases","es0110a","pm2.5",-13.7003733177901,27.9219881852777
"normalidad","es0110a","pm2.5",-24.0059162524338,23.7219072961861
"new.lockdown","es0110a","pm2.5",-31.2847290793588,30.5287874979112
"pre.lckdwn","es0115a","no",-9.88464251652281,30.0657776184464
"lckdwn","es0115a","no",-74.2074819928288,11.0770815470707
"fases","es0115a","no",-27.9110190956571,61.5436870470714
