fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
2016-12-31,3195,"MADRID, RETIRO",MADRID,667,0.4,0.0,-2.4,08:30,3.3,16:40,4.0,0.0,2.8,22:20,954.4,10.0,951.5,24.0
2017-01-01,3195,"MADRID, RETIRO",MADRID,667,1.7,0.0,-0.6,05:30,4.0,-2,4.0,0.0,3.3,01:20,951.8,0.0,944.8,24.0
2017-01-02,3195,"MADRID, RETIRO",MADRID,667,2.7,0.0,-0.8,01:40,6.2,15:30,4.0,0.8,4.4,10:50,945.5,24.0,943.6,6.0
2017-01-03,3195,"MADRID, RETIRO",MADRID,667,6.0,0.05,1.7,05:50,10.2,15:40,25.0,0.0,3.3,14:10,948.6,24.0,945.3,1.0
2017-01-04,3195,"MADRID, RETIRO",MADRID,667,6.8,0.0,2.2,08:30,11.5,14:30,23.0,0.8,3.6,14:10,950.4,10.0,947.4,-2.0
2017-01-05,3195,"MADRID, RETIRO",MADRID,667,7.2,0.0,4.7,03:30,9.8,-2,28.0,0.6,2.8,13:10,947.7,12.0,946.3,16.0
2017-01-06,3195,"MADRID, RETIRO",MADRID,667,5.4,0.0,1.1,06:45,9.8,-2,,,,,950.5,24.0,947.4,0.0
2017-01-07,3195,"MADRID, RETIRO",MADRID,667,5.0,0.0,-0.3,08:10,10.4,14:10,4.0,0.0,4.2,23:10,952.0,11.0,949.9,-2.0
2017-01-08,3195,"MADRID, RETIRO",MADRID,667,5.5,0.0,-0.5,08:10,11.5,14:15,2.0,0.6,5.6,20:40,952.3,10.0,948.1,-2.0
2017-01-09,3195,"MADRID, RETIRO",MADRID,667,5.4,0.0,-0.4,06:10,11.2,14:50,26.0,0.6,3.3,14:30,949.2,11.0,945.7,23.0
2017-01-10,3195,"MADRID, RETIRO",MADRID,667,7.7,0.0,3.4,05:10,12.0,13:20,8.0,0.8,4.4,20:20,946.0,0.0,939.6,13.0
2017-01-11,3195,"MADRID, RETIRO",MADRID,667,10.4,0.0,4.8,04:20,16.0,14:40,3.0,3.1,10.8,12:10,948.1,23.0,940.7,1.0
2017-01-12,3195,"MADRID, RETIRO",MADRID,667,8.6,0.0,4.4,07:00,12.7,14:30,30.0,0.8,11.1,22:10,948.7,1.0,942.8,20.0
2017-01-13,3195,"MADRID, RETIRO",MADRID,667,7.2,0.0,4.0,23:00,10.5,13:30,32.0,3.1,13.9,06:30,946.8,24.0,942.3,5.0
2017-01-14,3195,"MADRID, RETIRO",MADRID,667,3.8,0.0,-0.5,08:00,8.2,12:50,3.0,2.2,18.3,14:30,954.1,24.0,946.9,0.0
2017-01-15,3195,"MADRID, RETIRO",MADRID,667,6.6,0.0,1.8,00:20,11.4,14:05,1.0,0.6,7.8,14:40,950.7,10.0,948.6,-2.0
2017-01-16,3195,"MADRID, RETIRO",MADRID,667,6.2,0.0,0.5,05:50,11.8,14:00,1.0,0.8,12.5,14:20,948.4,0.0,942.8,24.0
2017-01-17,3195,"MADRID, RETIRO",MADRID,667,5.8,0.0,0.4,23:50,11.2,10:20,4.0,3.3,13.1,07:50,944.0,0.0,941.0,-2.0
2017-01-18,3195,"MADRID, RETIRO",MADRID,667,1.0,0.0,-3.0,07:45,5.0,15:30,2.0,1.1,12.5,01:50,942.6,11.0,939.9,16.0
2017-01-19,3195,"MADRID, RETIRO",MADRID,667,2.1,0.0,-2.8,03:30,7.0,15:20,5.0,3.6,16.1,23:30,942.4,2.0,938.0,15.0
2017-01-20,3195,"MADRID, RETIRO",MADRID,667,5.7,0.0,3.0,06:40,8.4,13:40,3.0,4.2,15.3,00:30,939.8,22.0,938.2,13.0
2017-01-21,3195,"MADRID, RETIRO",MADRID,667,7.2,0.0,3.5,23:59,11.0,15:00,4.0,2.2,11.7,05:50,941.3,11.0,939.5,14.0
2017-01-22,3195,"MADRID, RETIRO",MADRID,667,4.6,0.0,-0.4,06:40,9.5,15:30,3.0,0.6,8.9,19:10,940.8,24.0,938.2,15.0
2017-01-23,3195,"MADRID, RETIRO",MADRID,667,7.3,0.0,3.2,02:50,11.4,15:50,4.0,1.1,6.4,05:30,943.7,23.0,940.2,1.0
2017-01-24,3195,"MADRID, RETIRO",MADRID,667,6.7,0.0,0.4,08:10,13.0,16:10,26.0,0.8,5.0,17:00,946.0,-2.0,943.2,2.0
2017-01-25,3195,"MADRID, RETIRO",MADRID,667,5.2,0.0,-0.2,-2,10.5,15:10,23.0,0.6,5.0,16:50,944.0,-2.0,939.3,21.0
