fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
2020-12-01,1083L,CASTRO URDIALES,CANTABRIA,45,10.6,11.3,7.6,07:40,13.7,11:50,31,3.3,12.8,19:50
2020-12-02,1083L,CASTRO URDIALES,CANTABRIA,45,10.6,0.1,9.2,21:30,11.9,00:30,34,3.1,10.8,08:10
2020-12-03,1083L,CASTRO URDIALES,CANTABRIA,45,10.7,21.5,7.3,23:59,14.1,11:50,26,3.9,19.7,23:20
2020-12-04,1083L,CASTRO URDIALES,CANTABRIA,45,7.0,17.5,4.7,13:40,9.4,12:30,26,7.5,21.4,06:00
2020-12-05,1083L,CASTRO URDIALES,CANTABRIA,45,7.2,44.9,5.3,04:40,9.2,12:10,24,7.5,23.9,23:50
2020-12-06,1083L,CASTRO URDIALES,CANTABRIA,45,7.6,40.6,6.0,01:20,9.2,11:20,25,7.5,23.1,05:40
2020-12-07,1083L,CASTRO URDIALES,CANTABRIA,45,9.8,34.6,7.5,02:40,12.2,11:20,21,8.6,26.7,16:30
2020-12-08,1083L,CASTRO URDIALES,CANTABRIA,45,8.6,23.2,6.3,20:20,10.9,07:30,26,6.9,23.9,01:20
2020-12-09,1083L,CASTRO URDIALES,CANTABRIA,45,9.7,12.7,7.3,02:00,12.1,13:30,26,5.0,17.5,09:40
2020-12-10,1083L,CASTRO URDIALES,CANTABRIA,45,12.2,11.8,10.2,00:20,14.3,01:50,26,6.1,22.2,01:10
2020-12-11,1083L,CASTRO URDIALES,CANTABRIA,45,14.4,14.4,11.7,19:00,17.1,09:50,24,8.1,22.2,14:00
2020-12-12,1083L,CASTRO URDIALES,CANTABRIA,45,11.0,3.8,9.2,22:20,12.9,00:50,32,5.3,21.4,00:10
2020-12-13,1083L,CASTRO URDIALES,CANTABRIA,45,14.4,0.0,10.1,00:10,18.6,23:59,20,3.6,13.3,23:00
2020-12-14,1083L,CASTRO URDIALES,CANTABRIA,45,14.4,6.0,10.2,19:50,18.5,01:00,20,2.8,14.2,03:30
2020-12-15,1083L,CASTRO URDIALES,CANTABRIA,45,12.2,0.0,8.5,07:40,15.8,11:40,20,3.6,16.9,22:10
2020-12-16,1083L,CASTRO URDIALES,CANTABRIA,45,14.0,2.2,10.4,21:50,17.6,13:10,22,4.4,21.7,00:40
2020-12-17,1083L,CASTRO URDIALES,CANTABRIA,45,11.6,0.0,7.1,23:20,16.1,13:00,16,1.9,5.8,13:50
2020-12-18,1083L,CASTRO URDIALES,CANTABRIA,45,11.4,1.1,7.1,00:20,15.7,23:59,21,7.5,18.3,13:10
2020-12-19,1083L,CASTRO URDIALES,CANTABRIA,45,12.8,4.3,10.0,21:20,15.7,01:00,22,2.8,17.5,00:40
2020-12-20,1083L,CASTRO URDIALES,CANTABRIA,45,12.0,1.1,8.1,06:00,16.0,12:50,19,2.2,11.1,19:20
2020-12-21,1083L,CASTRO URDIALES,CANTABRIA,45,16.6,0.3,12.9,22:50,20.4,12:30,19,2.5,10.3,01:20
2020-12-22,1083L,CASTRO URDIALES,CANTABRIA,45,17.2,0.0,12.9,04:40,21.4,13:30,21,4.7,16.1,20:00
2020-12-23,1083L,CASTRO URDIALES,CANTABRIA,45,14.8,3.3,9.6,19:50,19.9,03:30,28,6.4,16.9,15:50
2020-12-24,1083L,CASTRO URDIALES,CANTABRIA,45,10.8,10.2,8.7,18:50,12.8,12:30,26,4.4,14.7,00:10
2020-12-25,1083L,CASTRO URDIALES,CANTABRIA,45,8.8,3.4,7.1,17:00,10.5,00:30,2,4.4,13.9,22:30
2020-12-26,1083L,CASTRO URDIALES,CANTABRIA,45,8.4,3.1,6.7,23:10,10.1,14:40,34,3.1,13.1,01:40
2020-12-27,1083L,CASTRO URDIALES,CANTABRIA,45,9.2,40.1,5.2,03:00,13.1,15:20,27,4.4,20.6,21:30
2020-12-28,1083L,CASTRO URDIALES,CANTABRIA,45,7.7,30.9,5.5,05:10,9.9,18:20,24,9.4,25.0,10:40
2020-12-29,1083L,CASTRO URDIALES,CANTABRIA,45,6.3,46.3,4.5,08:50,8.1,02:20,23,7.2,21.1,19:10
2020-12-30,1083L,CASTRO URDIALES,CANTABRIA,45,8.4,5.9,5.6,02:00,11.2,23:59,23,6.7,17.5,07:50
2020-12-31,1083L,CASTRO URDIALES,CANTABRIA,45,8.7,16.1,6.1,23:30,11.3,12:10,24,4.2,14.2,00:10
