fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-12-01,1111X,SANTANDER,CANTABRIA,52,11.3,4.2,8.8,08:00,13.8,17:40,2,4.2,13.6,23:40,1.5,1021.0,0,1015.7,24
2020-12-02,1111X,SANTANDER,CANTABRIA,52,11.2,0.0,9.7,22:20,12.6,00:00,2,5.3,12.2,01:00,3.5,1015.7,0,1012.3,24
2020-12-03,1111X,SANTANDER,CANTABRIA,52,10.8,17.4,7.6,23:59,14.1,13:10,29,4.4,25.3,21:00,3.2,1012.3,0,987.7,20
2020-12-04,1111X,SANTANDER,CANTABRIA,52,6.6,25.8,4.4,21:30,8.9,09:00,27,6.9,23.9,03:00,0.8,989.8,-2,985.1,8
2020-12-05,1111X,SANTANDER,CANTABRIA,52,7.8,56.9,5.5,01:20,10.2,11:50,26,8.9,23.1,09:40,0.2,998.1,24,989.3,1
2020-12-06,1111X,SANTANDER,CANTABRIA,52,8.6,57.8,7.3,-2,9.9,13:20,28,10.0,22.8,05:40,0.0,1000.9,-2,997.1,1
2020-12-07,1111X,SANTANDER,CANTABRIA,52,10.4,36.6,7.7,02:40,13.0,05:40,28,14.7,28.6,17:10,0.9,997.5,0,991.8,20
2020-12-08,1111X,SANTANDER,CANTABRIA,52,8.7,43.4,6.5,12:50,10.9,-2,27,8.9,26.9,00:40,0.1,1009.3,-2,992.9,0
2020-12-09,1111X,SANTANDER,CANTABRIA,52,10.0,15.6,7.9,02:10,12.0,14:10,27,7.5,15.0,-2,0.2,1011.3,10,999.9,23
2020-12-10,1111X,SANTANDER,CANTABRIA,52,12.4,13.6,10.3,00:10,14.4,02:20,31,7.5,22.5,06:30,0.7,1003.4,11,995.8,23
2020-12-11,1111X,SANTANDER,CANTABRIA,52,14.2,0.8,12.5,19:20,15.9,09:30,32,11.1,23.9,19:00,0.6,1001.0,24,995.5,1
2020-12-12,1111X,SANTANDER,CANTABRIA,52,12.1,4.0,10.8,22:10,13.4,00:50,29,7.8,23.9,03:50,0.1,1009.7,17,1000.8,0
2020-12-13,1111X,SANTANDER,CANTABRIA,52,14.7,0.0,10.9,01:20,18.5,13:10,20,5.6,13.1,23:20,2.3,1007.8,0,999.5,3
2020-12-14,1111X,SANTANDER,CANTABRIA,52,14.4,1.0,10.7,19:10,18.1,00:00,20,4.4,12.2,01:10,1.4,1002.6,22,997.1,14
2020-12-15,1111X,SANTANDER,CANTABRIA,52,13.3,0.0,10.6,-2,16.0,12:20,19,5.3,18.9,23:30,6.6,1007.0,11,1000.5,24
2020-12-16,1111X,SANTANDER,CANTABRIA,52,14.2,2.2,10.5,-2,17.9,12:20,20,7.8,23.1,00:40,1.1,1012.8,24,998.4,5
2020-12-17,1111X,SANTANDER,CANTABRIA,52,12.3,0.0,9.2,06:10,15.4,12:10,20,3.1,6.4,07:00,7.7,1016.7,11,1012.8,0
2020-12-18,1111X,SANTANDER,CANTABRIA,52,13.2,1.8,10.7,00:40,15.7,11:30,18,8.3,20.3,19:00,5.6,1014.3,0,1004.6,-2
2020-12-19,1111X,SANTANDER,CANTABRIA,52,13.6,0.0,10.9,22:20,16.2,10:40,19,3.1,18.1,00:10,2.2,1012.6,24,1003.8,2
2020-12-20,1111X,SANTANDER,CANTABRIA,52,13.1,2.4,10.3,08:10,15.9,12:50,19,5.0,10.3,21:20,3.9,1016.3,11,1012.4,0
2020-12-21,1111X,SANTANDER,CANTABRIA,52,17.0,0.0,13.1,01:40,20.9,14:20,20,3.9,12.5,00:40,5.5,1016.8,-2,1012.5,4
2020-12-22,1111X,SANTANDER,CANTABRIA,52,17.5,0.0,13.6,06:50,21.4,12:40,19,6.7,14.7,16:40,3.8,1016.3,0,1010.1,24
2020-12-23,1111X,SANTANDER,CANTABRIA,52,14.8,5.0,9.9,21:00,19.7,-2,29,6.4,15.6,23:00,0.0,1018.3,-2,1008.0,4
2020-12-24,1111X,SANTANDER,CANTABRIA,52,10.6,8.6,9.4,08:20,11.8,10:50,28,8.1,16.4,12:50,1.1,1022.3,24,1018.2,16
2020-12-25,1111X,SANTANDER,CANTABRIA,52,9.1,0.6,7.5,06:00,10.7,-2,1,5.6,17.2,07:40,3.5,1027.1,-2,1022.0,2
2020-12-26,1111X,SANTANDER,CANTABRIA,52,8.2,0.2,6.5,07:50,9.8,14:20,36,4.2,12.2,02:30,0.6,1026.6,0,1015.2,24
2020-12-27,1111X,SANTANDER,CANTABRIA,52,9.0,18.4,5.8,01:50,12.1,17:20,28,7.2,26.7,23:59,0.3,1015.2,0,984.3,21
2020-12-28,1111X,SANTANDER,CANTABRIA,52,9.0,26.6,7.0,22:30,10.9,17:00,26,13.9,28.9,15:00,0.3,993.4,24,985.2,1
2020-12-29,1111X,SANTANDER,CANTABRIA,52,7.2,43.1,5.0,11:40,9.3,12:50,26,9.2,23.9,23:10,0.9,1003.9,24,992.1,5
2020-12-30,1111X,SANTANDER,CANTABRIA,52,8.7,5.8,7.1,00:00,10.3,23:59,31,6.9,19.2,03:30,0.0,1009.1,11,1003.7,1
2020-12-31,1111X,SANTANDER,CANTABRIA,52,8.0,45.2,5.4,22:10,10.7,11:30,27,7.5,19.2,12:50,0.0,1005.9,0,1000.7,13
