fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2016-12-31,1109,SANTANDER AEROPUERTO,CANTABRIA,3,7.4,0.0,3.2,23:59,11.5,16:15,23.0,0.6,6.1,18:20,6.9,1032.9,0.0,1029.2,24.0
2017-01-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,7.5,0.0,1.8,05:30,13.2,15:30,23.0,0.3,4.2,23:20,6.2,1029.2,0.0,1017.3,24.0
2017-01-02,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.7,0.0,4.0,02:10,13.4,-2,20.0,2.5,11.4,05:40,2.6,1022.3,-2.0,1016.3,4.0
2017-01-03,1109,SANTANDER AEROPUERTO,CANTABRIA,3,7.5,0.0,3.2,08:30,11.8,-2,99.0,1.4,7.2,-2,7.0,1028.0,-2.0,1022.0,0.0
2017-01-04,1109,SANTANDER AEROPUERTO,CANTABRIA,3,5.8,0.0,1.5,06:10,10.2,-2,6.0,0.6,5.6,14:01,1.3,1029.4,-2.0,1027.5,0.0
2017-01-05,1109,SANTANDER AEROPUERTO,CANTABRIA,3,6.6,0.0,2.0,08:10,11.2,14:10,8.0,3.6,9.7,11:30,7.2,1031.9,-2.0,1028.9,1.0
2017-01-06,1109,SANTANDER AEROPUERTO,CANTABRIA,3,5.6,0.0,1.3,23:59,9.8,15:00,7.0,3.1,11.4,13:40,7.5,1033.6,-2.0,1031.1,2.0
2017-01-07,1109,SANTANDER AEROPUERTO,CANTABRIA,3,4.5,0.0,-2.0,08:10,11.0,15:20,5.0,1.7,5.6,-2,6.4,1034.5,-2.0,1032.2,14.0
2017-01-08,1109,SANTANDER AEROPUERTO,CANTABRIA,3,5.4,0.0,-1.3,08:30,12.2,14:10,8.0,1.9,10.3,15:30,7.2,1034.5,-2.0,1032.3,14.0
2017-01-09,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.8,7.3,4.5,07:30,13.0,14:10,3.0,0.8,6.1,14:20,6.9,1032.7,0.0,1024.6,24.0
2017-01-10,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.8,22.6,9.7,00:00,13.9,22:00,28.0,6.9,17.5,05:20,0.0,1024.6,0.0,1020.5,5.0
2017-01-11,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.0,0.7,11.8,00:00,14.2,12:00,31.0,6.9,14.4,01:40,0.0,1027.7,-2.0,1023.7,3.0
2017-01-12,1109,SANTANDER AEROPUERTO,CANTABRIA,3,12.6,10.4,10.2,05:00,15.0,14:00,31.0,3.3,18.6,18:49,0.0,1027.1,0.0,1018.5,16.0
2017-01-13,1109,SANTANDER AEROPUERTO,CANTABRIA,3,9.0,5.3,7.0,21:30,11.0,-2,31.0,6.9,20.6,03:10,3.1,1027.8,-2.0,1023.0,0.0
2017-01-14,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.4,13.0,5.4,06:10,15.3,15:30,1.0,3.9,14.4,02:10,0.8,1031.3,-2.0,1027.5,0.0
2017-01-15,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.4,4.4,8.6,07:00,12.3,13:45,31.0,3.3,13.3,23:30,0.5,1032.4,11.0,1030.6,2.0
2017-01-16,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.2,10.2,9.5,07:30,13.0,13:45,30.0,6.1,15.0,07:00,0.0,1030.8,0.0,1026.6,24.0
2017-01-17,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.6,0.0,6.2,23:59,11.0,-2,7.0,3.9,11.9,03:10,4.4,1030.6,10.0,1025.6,2.0
2017-01-18,1109,SANTANDER AEROPUERTO,CANTABRIA,3,5.2,0.0,4.2,23:59,6.2,00:00,3.0,3.9,17.5,02:20,0.0,1028.8,-2.0,1026.8,13.0
2017-01-19,1109,SANTANDER AEROPUERTO,CANTABRIA,3,4.9,0.0,2.2,23:59,7.6,15:01,21.0,1.7,5.6,09:40,2.4,1027.0,0.0,1024.5,16.0
2017-01-20,1109,SANTANDER AEROPUERTO,CANTABRIA,3,3.9,0.0,-2.0,08:15,9.8,16:10,7.0,1.9,5.6,14:30,7.3,1025.4,2.0,1021.8,15.0
2017-01-21,1109,SANTANDER AEROPUERTO,CANTABRIA,3,6.4,0.0,1.2,07:20,11.7,15:00,9.0,0.3,4.7,13:20,3.5,1022.7,-2.0,1020.5,14.0
2017-01-22,1109,SANTANDER AEROPUERTO,CANTABRIA,3,7.4,0.0,2.2,03:45,12.7,14:01,24.0,1.4,8.3,18:40,2.0,1024.1,-2.0,1021.3,5.0
2017-01-23,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.8,0.0,5.2,-2,12.5,-2,99.0,2.8,8.9,-2,5.6,1026.9,-2.0,1023.4,1.0
2017-01-24,1109,SANTANDER AEROPUERTO,CANTABRIA,3,7.6,0.0,2.6,23:59,12.7,12:30,6.0,1.1,5.6,16:30,7.8,1028.8,-2.0,1026.3,1.0
2017-01-25,1109,SANTANDER AEROPUERTO,CANTABRIA,3,4.6,0.0,-1.0,08:10,10.2,14:00,12.0,2.2,9.7,11:40,7.9,1026.4,0.0,1017.1,24.0
2017-01-26,1109,SANTANDER AEROPUERTO,CANTABRIA,3,6.2,0.0,-2.0,07:00,14.5,13:45,19.0,5.8,17.5,17:49,3.3,1017.1,0.0,1005.6,-2.0
2017-01-27,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.9,5.1,9.2,23:59,14.6,15:00,18.0,5.6,17.5,09:49,0.7,1015.4,-2.0,1003.3,5.0
2017-01-28,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.4,0.0,6.2,07:00,14.5,14:15,29.0,4.4,12.5,13:30,5.8,1023.2,18.0,1015.4,0.0
2017-01-29,1109,SANTANDER AEROPUERTO,CANTABRIA,3,12.3,0.0,6.8,02:30,17.8,15:10,21.0,4.2,13.9,10:20,2.5,1021.8,0.0,1016.1,15.0
2017-01-30,1109,SANTANDER AEROPUERTO,CANTABRIA,3,14.8,0.0,9.5,07:00,20.0,14:45,19.0,2.5,17.5,19:49,0.7,1019.8,1.0,1012.0,24.0
2017-01-31,1109,SANTANDER AEROPUERTO,CANTABRIA,3,16.6,0.0,12.2,23:00,21.0,14:00,22.0,3.9,14.4,04:49,5.1,1013.1,-2.0,1011.2,14.0
2017-02-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,15.4,0.0,10.8,06:40,20.0,-2,20.0,4.4,18.1,23:30,6.6,1013.1,3.0,1006.0,24.0
2017-02-02,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.6,3.5,9.0,20:45,18.2,11:00,19.0,6.9,25.3,02:20,2.9,1010.7,-2.0,1000.0,7.0
2017-02-03,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.7,6.7,9.0,08:10,18.4,-2,20.0,4.4,22.2,05:40,4.5,1008.7,-2.0,997.1,22.0
2017-02-04,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.1,12.4,8.9,19:00,13.3,12:45,29.0,3.1,23.1,03:10,0.0,1010.8,11.0,999.4,0.0
2017-02-05,1109,SANTANDER AEROPUERTO,CANTABRIA,3,9.7,15.8,7.8,09:30,11.6,17:30,29.0,13.1,31.4,14:10,0.1,1025.8,-2.0,1001.7,1.0
2017-02-06,1109,SANTANDER AEROPUERTO,CANTABRIA,3,12.8,2.9,7.6,06:00,18.1,-2,32.0,1.4,12.8,00:20,2.2,1026.2,-2.0,1020.5,24.0
2017-02-07,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.2,6.5,8.4,23:00,14.0,15:45,31.0,6.4,20.3,20:20,1.8,1027.5,-2.0,1020.5,0.0
2017-02-08,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.3,3.7,5.0,01:20,11.6,13:50,29.0,5.6,16.9,00:49,1.3,1031.5,-2.0,1027.4,0.0
2017-02-09,1109,SANTANDER AEROPUERTO,CANTABRIA,3,7.5,0.0,2.0,07:15,13.0,15:30,22.0,1.1,7.8,23:01,4.7,1027.6,0.0,1008.4,24.0
2017-02-10,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.2,0.0,6.4,23:59,15.9,14:30,21.0,2.5,10.3,15:49,3.5,1014.8,-2.0,1007.2,4.0
2017-02-11,1109,SANTANDER AEROPUERTO,CANTABRIA,3,8.2,2.2,5.3,00:45,11.1,11:10,6.0,3.1,10.8,10:20,0.3,1016.4,-2.0,1010.0,24.0
2017-02-12,1109,SANTANDER AEROPUERTO,CANTABRIA,3,12.6,0.0,8.0,-2,17.2,15:10,12.0,5.3,15.6,22:40,4.3,1010.4,0.0,998.0,22.0
2017-02-13,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.6,0.2,8.8,23:59,18.3,12:00,15.0,6.1,17.5,07:20,2.2,1014.4,-2.0,996.7,5.0
2017-02-14,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.8,0.0,6.2,01:45,17.3,-2,22.0,5.8,16.9,11:30,3.0,1023.4,24.0,1014.4,0.0
2017-02-15,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.8,0.0,9.2,23:59,18.4,11:30,21.0,1.9,13.9,02:20,8.0,1030.3,-2.0,1023.4,0.0
2017-02-16,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.9,0.0,6.8,07:00,17.0,14:20,6.0,1.7,5.3,-2,8.5,1030.8,-2.0,1028.6,14.0
2017-02-17,1109,SANTANDER AEROPUERTO,CANTABRIA,3,9.8,0.0,4.5,06:00,15.0,14:00,6.0,0.8,5.6,14:10,9.4,1029.2,0.0,1024.3,24.0
2017-02-18,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.0,0.0,5.4,06:00,14.5,11:00,30.0,0.8,4.7,17:20,1.0,1024.9,-2.0,1021.6,15.0
2017-02-19,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.8,0.0,7.2,23:15,14.5,11:15,3.0,1.4,6.7,12:40,7.3,1030.4,23.0,1024.9,0.0
2017-02-20,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.1,0.0,7.0,06:10,15.2,13:10,6.0,0.8,5.3,14:10,8.3,1030.1,-2.0,1027.9,17.0
2017-02-21,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.0,0.0,7.0,23:59,15.1,16:10,5.0,1.1,6.7,14:49,3.9,1029.2,0.0,1024.6,17.0
2017-02-22,1109,SANTANDER AEROPUERTO,CANTABRIA,3,9.3,0.0,4.8,07:30,13.8,-2,5.0,1.7,8.9,14:10,7.7,1025.3,0.0,1017.8,24.0
2017-02-23,1109,SANTANDER AEROPUERTO,CANTABRIA,3,11.6,3.2,9.6,07:00,13.6,-2,27.0,3.1,7.8,17:20,0.0,1018.8,-2.0,1016.4,4.0
2017-02-24,1109,SANTANDER AEROPUERTO,CANTABRIA,3,9.4,1.5,5.6,23:59,13.2,12:20,2.0,2.5,9.4,01:01,0.3,1024.2,21.0,1018.1,0.0
2017-02-25,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.8,0.0,2.7,07:15,18.8,16:00,27.0,1.7,6.7,19:49,9.6,1023.9,0.0,1018.0,15.0
2017-02-26,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.0,0.0,9.0,00:30,17.1,12:00,5.0,0.6,6.1,13:30,3.3,1021.7,9.0,1015.4,24.0
2017-02-27,1109,SANTANDER AEROPUERTO,CANTABRIA,3,14.5,0.2,8.0,03:15,21.0,13:10,99.0,5.0,13.1,-2,7.3,1015.4,0.0,1007.9,13.0
2017-02-28,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.8,10.1,9.0,23:59,12.6,00:00,29.0,7.5,21.7,10:20,0.0,1018.2,22.0,1006.4,3.0
2017-03-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.5,0.0,8.4,01:00,18.6,12:30,23.0,2.2,8.3,01:30,8.8,1019.1,23.0,1015.0,14.0
2017-03-02,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.2,0.0,9.5,03:30,17.0,14:30,21.0,2.5,13.9,22:49,4.4,1018.9,0.0,1008.3,24.0
2017-03-03,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.0,12.8,8.0,21:30,18.0,11:45,20.0,6.9,17.5,10:20,0.0,1008.3,0.0,997.4,11.0
2017-03-04,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.0,0.3,6.2,07:45,13.7,14:20,99.0,3.9,20.3,-2,7.5,1009.6,-2.0,1000.6,4.0
2017-03-05,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.1,2.1,8.8,03:00,17.4,13:20,29.0,3.1,13.3,10:40,0.7,1018.3,-2.0,1006.8,4.0
2017-03-06,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.5,0.0,11.5,01:00,15.5,08:15,30.0,6.7,20.3,-2,0.5,1028.5,-2.0,1014.5,1.0
2017-03-07,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.4,0.0,10.6,05:00,16.1,11:45,30.0,5.0,12.2,10:30,0.5,1029.0,-2.0,1025.6,5.0
2017-03-08,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.8,0.0,11.0,08:00,16.5,14:00,99.0,1.7,5.3,-2,2.8,1029.1,-2.0,1027.6,4.0
2017-03-09,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.0,0.0,9.6,23:59,16.4,-2,5.0,1.4,10.3,13:30,6.1,1027.7,0.0,1024.9,24.0
2017-03-10,1109,SANTANDER AEROPUERTO,CANTABRIA,3,13.0,0.0,6.3,07:20,19.7,16:00,5.0,1.9,7.2,13:20,8.8,1024.9,0.0,1017.1,-2.0
2017-03-11,1109,SANTANDER AEROPUERTO,CANTABRIA,3,14.1,0.2,9.6,05:30,18.6,15:15,29.0,2.2,15.6,10:20,5.3,1021.7,9.0,1014.6,23.0
2017-03-12,1109,SANTANDER AEROPUERTO,CANTABRIA,3,10.4,25.5,7.7,16:30,13.2,02:00,31.0,6.1,21.1,09:40,0.8,1026.9,-2.0,1019.2,7.0
