fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,siteAQ
2016-12-31,9262,PAMPLONA,NAVARRA,450,1.0,"0,0",-3.1,5.2,es1740a
2017-01-01,9262,PAMPLONA,NAVARRA,450,0.4,"0,0",-0.8,1.5,es1740a
2017-01-02,9262,PAMPLONA,NAVARRA,450,1.2,"0,0",-0.8,3.1,es1740a
2017-01-03,9262,PAMPLONA,NAVARRA,450,3.0,"0,0",-3.2,9.1,es1740a
2017-01-04,9262,PAMPLONA,NAVARRA,450,4.1,"0,0",-2.7,10.9,es1740a
2017-01-05,9262,PAMPLONA,NAVARRA,450,3.8,"0,0",0.3,7.2,es1740a
2017-01-06,9262,PAMPLONA,NAVARRA,450,5.2,"0,0",0.2,10.3,es1740a
2017-01-07,9262,PAMPLONA,NAVARRA,450,6.2,"0,0",1.1,11.3,es1740a
2017-01-08,9262,PAMPLONA,NAVARRA,450,5.5,"0,0",0.3,10.7,es1740a
2017-01-09,9262,PAMPLONA,NAVARRA,450,8.0,"1,4",5.4,10.7,es1740a
2017-01-10,9262,PAMPLONA,NAVARRA,450,8.9,"28,2",6.4,11.4,es1740a
2017-01-11,9262,PAMPLONA,NAVARRA,450,9.8,"0,6",6.3,13.3,es1740a
2017-01-12,9262,PAMPLONA,NAVARRA,450,11.0,"9,4",7.8,14.3,es1740a
2017-01-13,9262,PAMPLONA,NAVARRA,450,4.5,"31,4",2.9,6.1,es1740a
2017-01-14,9262,PAMPLONA,NAVARRA,450,2.8,"28,3",0.7,4.8,es1740a
2017-01-15,9262,PAMPLONA,NAVARRA,450,5.2,"31,3",1.1,9.2,es1740a
2017-01-16,9262,PAMPLONA,NAVARRA,450,6.4,"6,8",3.3,9.4,es1740a
2017-01-17,9262,PAMPLONA,NAVARRA,450,0.9,"0,0",-0.3,2.1,es1740a
2017-01-18,9262,PAMPLONA,NAVARRA,450,-2.6,"0,0",-4.4,-0.8,es1740a
