fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,1.8,0.0,0.5,00:20,3.1,16:00,33.0,1.4,5.3,06:40,0.0,1005.1,0.0,1000.5,24.0,es1836a
2017-01-01,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,1.8,0.0,0.6,23:59,3.1,14:50,12.0,1.7,4.2,22:50,0.0,1000.5,0.0,992.8,16.0,es1836a
2017-01-02,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,0.6,0.0,-0.7,-2,2.0,17:00,33.0,1.9,6.7,15:40,0.0,994.9,11.0,992.4,17.0,es1836a
2017-01-03,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,4.1,0.0,-1.5,08:40,9.7,16:00,1.0,1.9,5.8,10:30,5.3,994.7,10.0,992.3,16.0,es1836a
2017-01-04,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,6.3,0.0,-1.8,07:20,14.4,15:00,32.0,3.9,13.3,14:30,7.8,995.2,9.0,991.7,15.0,es1836a
2017-01-05,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,7.9,0.0,3.8,23:59,12.0,14:00,31.0,8.3,19.7,12:10,7.8,996.5,24.0,991.6,-2.0,es1836a
2017-01-06,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,4.4,0.0,-0.9,-2,9.6,14:40,99.0,1.9,11.9,-2,7.6,1000.0,11.0,996.5,0.0,es1836a
2017-01-07,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,3.0,0.0,-3.2,06:50,9.2,15:00,30.0,1.7,5.3,15:00,7.6,1000.6,-2.0,998.3,15.0,es1836a
2017-01-08,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,4.6,0.0,-3.9,08:00,13.0,15:30,30.0,4.2,14.4,23:20,7.7,999.9,0.0,995.0,17.0,es1836a
2017-01-09,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,9.1,0.0,5.9,07:00,12.3,15:00,31.0,6.9,14.7,12:00,7.7,996.7,10.0,990.7,-2.0,es1836a
