fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,sol,siteAQ
2016-12-31,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,13.8,0.0,10.0,19:20,17.7,12:41,34.0,1.4,6.7,06:18,1029.9,0.0,1025.9,24.0,,es1849a
2017-01-01,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.7,0.0,6.4,07:31,17.0,13:24,25.0,2.5,6.7,15:12,1025.9,0.0,1019.1,24.0,,es1849a
2017-01-02,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.9,0.0,6.6,06:37,17.2,14:38,99.0,1.9,4.7,-2,1020.3,-2.0,1017.8,14.0,,es1849a
2017-01-03,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,13.2,0.0,5.8,06:01,20.7,14:04,30.0,3.3,12.8,22:45,1021.3,-2.0,1017.9,5.0,,es1849a
2017-01-04,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,16.4,0.0,13.3,06:04,19.5,14:18,30.0,6.4,16.1,03:22,1021.5,-2.0,1018.0,15.0,,es1849a
2017-01-05,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,15.2,0.0,9.1,23:43,21.2,12:18,99.0,3.6,13.3,-2,1022.2,-2.0,1016.6,5.0,,es1849a
2017-01-06,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,13.2,0.0,8.5,23:29,17.9,14:08,16.0,1.4,4.7,15:10,1026.4,-2.0,1022.1,0.0,,es1849a
2017-01-07,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.6,0.0,6.1,07:22,17.2,13:54,99.0,2.8,6.7,-2,1027.4,-2.0,1024.8,14.0,,es1849a
2017-01-08,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,10.1,0.0,4.0,06:56,16.2,13:30,23.0,2.8,7.8,14:23,1026.2,0.0,1020.7,24.0,,es1849a
2017-01-09,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.8,0.0,5.4,03:42,18.1,13:12,8.0,1.7,5.8,11:05,1023.8,-2.0,1018.4,23.0,,es1849a
2017-01-10,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.0,0.0,5.3,00:46,16.6,13:07,31.0,7.5,14.4,15:47,1018.5,0.0,1008.5,15.0,,es1849a
2017-01-11,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,13.0,0.0,8.3,23:30,17.7,10:29,31.0,3.6,13.3,01:24,1023.6,-2.0,1010.1,0.0,,es1849a
2017-01-12,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,12.8,0.0,5.5,07:27,20.2,14:02,21.0,4.2,9.2,-2,1023.6,0.0,1015.6,23.0,,es1849a
2017-01-13,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,14.5,0.0,9.8,22:28,19.2,13:54,32.0,5.8,17.5,09:53,1019.0,-2.0,1012.9,6.0,,es1849a
2017-01-14,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.2,0.0,6.6,23:14,15.8,13:57,31.0,4.4,13.3,16:54,1022.8,-2.0,1018.6,4.0,,es1849a
2017-01-15,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.5,0.0,6.9,07:02,16.1,13:56,31.0,8.1,16.1,10:52,1022.4,-2.0,1019.2,14.0,,es1849a
2017-01-16,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,14.4,0.0,10.2,06:06,18.7,12:38,31.0,8.3,19.7,12:17,1020.0,0.0,1011.7,24.0,,es1849a
2017-01-17,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,8.2,0.5,3.4,23:37,13.0,00:00,7.0,7.2,14.4,10:29,1015.2,-2.0,1009.9,6.0,,es1849a
2017-01-18,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,4.4,22.7,0.0,03:46,8.7,13:50,4.0,4.2,13.9,-2,1016.5,-2.0,1014.1,20.0,,es1849a
2017-01-19,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,7.6,76.1,5.0,07:30,10.3,22:53,2.0,6.9,20.6,08:14,1014.5,0.0,1006.9,14.0,,es1849a
2017-01-20,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,12.0,0.8,7.0,06:44,17.1,14:52,5.0,4.4,10.3,17:18,1012.7,-2.0,1009.6,1.0,,es1849a
2017-01-21,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,9.8,4.6,7.6,00:14,12.1,15:21,99.0,6.4,15.3,-2,1010.8,-2.0,1006.3,14.0,,es1849a
2017-01-22,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,12.0,0.0,10.0,-2,14.1,12:04,34.0,5.0,16.4,01:50,1012.1,22.0,1007.3,3.0,,es1849a
2017-01-23,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.4,0.0,8.2,05:29,14.7,13:56,36.0,4.4,10.8,-2,1015.5,-2.0,1011.4,1.0,,es1849a
2017-01-24,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.0,0.0,6.1,23:31,15.8,15:32,99.0,5.6,11.7,-2,1018.9,-2.0,1014.3,2.0,,es1849a
2017-01-25,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,12.3,0.0,5.1,03:14,19.5,15:15,99.0,5.0,10.8,-2,1018.3,0.0,1013.5,16.0,,es1849a
2017-01-26,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,11.5,0.0,5.5,06:24,17.5,12:05,99.0,3.1,6.1,-2,1015.6,-2.0,1011.8,24.0,,es1849a
