fecha,indicativo,nombre,provincia,altitud,prec,tmed,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,siteAQ
2016-12-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-01-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,4.3,-3.8,06:40,12.4,15:20,,,,,es1938a
2017-01-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.2,-3.6,07:00,14.0,14:50,,,,,es1938a
2017-01-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.1,-3.0,07:00,13.2,15:40,,,,,es1938a
2017-01-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,6.8,0.9,01:00,12.8,13:50,,,,,es1938a
2017-01-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,10.3,2.8,01:50,17.8,14:40,,,,,es1938a
2017-01-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,7.2,1.0,08:00,13.5,12:50,,,,,es1938a
2017-01-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,6.0,0.7,23:59,11.4,12:20,,,,,es1938a
2017-01-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,3.8,-2.1,07:00,9.7,12:40,,,,,es1938a
2017-01-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.4,-0.7,00:40,11.4,13:50,,,,,es1938a
2017-01-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.8,-0.7,06:00,12.4,14:00,,,,,es1938a
2017-01-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.2,-2.0,23:59,12.4,12:20,,,,,es1938a
2017-01-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,1.4,-3.2,06:00,6.0,14:10,,,,,es1938a
2017-01-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,2.4,-2.6,04:50,7.3,13:50,,,,,es1938a
2017-01-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.3,3.0,07:00,7.6,13:00,,,,,es1938a
2017-01-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.8,-0.1,23:59,11.7,13:50,,,,,es1938a
2017-01-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,4.0,-2.8,08:00,10.7,13:10,,,,,es1938a
2017-01-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.8,-1.8,03:00,13.3,14:20,,,,,es1938a
2017-01-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.5,-3.4,06:40,14.4,14:50,,,,,es1938a
2017-01-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,3.7,-4.2,08:10,11.6,15:30,,,,,es1938a
2017-01-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,12.7,2.0,-4.4,06:00,8.3,15:20,,,,,es1938a
2017-01-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,6.5,4.7,2.4,23:30,7.0,16:00,,,,,es1938a
2017-01-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,7.0,3.3,07:30,10.6,15:00,,,,,es1938a
2017-01-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,1.2,5.8,3.1,07:20,8.5,23:59,,,,,es1938a
2017-01-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,9.7,8.2,08:00,11.2,15:00,,,,,es1938a
2017-01-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,9.8,5.3,23:59,14.3,15:10,,,,,es1938a
2017-02-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,5.3,6.9,3.0,06:10,10.8,14:40,,,,,es1938a
2017-02-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,2.9,9.0,5.9,20:00,12.1,15:50,,,,,es1938a
2017-02-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.3,8.9,6.3,01:00,11.5,12:40,,,,,es1938a
2017-02-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,4.4,11.4,9.1,04:00,13.6,14:20,,,,,es1938a
2017-02-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.1,6.8,3.2,07:40,10.5,01:20,,,,,es1938a
2017-02-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,10.8,5.7,02:30,16.0,15:50,,,,,es1938a
2017-02-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,1.2,9.1,5.6,07:30,12.6,12:30,,,,,es1938a
2017-02-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,5.4,0.2,23:59,10.5,13:50,,,,,es1938a
2017-02-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,4.4,-1.7,05:20,10.5,14:50,,,,,es1938a
2017-02-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,4.8,2.7,-0.1,05:30,5.5,14:00,,,,,es1938a
2017-02-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,12.0,5.2,3.8,08:50,6.7,23:59,,,,,es1938a
2017-02-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,18.7,8.6,6.0,02:00,11.2,18:20,,,,,es1938a
2017-02-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.2,8.6,4.6,23:59,12.5,14:00,,,,,es1938a
2017-02-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-02-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-02-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-02-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
2017-02-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,0.0,,,,,,,,,,es1938a
