fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,sol,siteAQ
2016-12-31,8416,VALÈNCIA,VALENCIA,11,11.6,0.0,7.5,15.8,4.1,es1970a
2017-01-01,8416,VALÈNCIA,VALENCIA,11,11.0,0.0,5.8,16.1,8.4,es1970a
2017-01-02,8416,VALÈNCIA,VALENCIA,11,9.0,0.0,3.8,14.2,7.5,es1970a
2017-01-03,8416,VALÈNCIA,VALENCIA,11,10.0,0.0,4.1,16.0,5.5,es1970a
2017-01-04,8416,VALÈNCIA,VALENCIA,11,13.0,0.0,5.8,20.1,8.6,es1970a
2017-01-05,8416,VALÈNCIA,VALENCIA,11,12.2,0.0,6.8,17.5,8.7,es1970a
2017-01-06,8416,VALÈNCIA,VALENCIA,11,10.8,0.0,5.5,16.1,8.6,es1970a
2017-01-07,8416,VALÈNCIA,VALENCIA,11,10.2,0.0,5.4,15.1,8.6,es1970a
2017-01-08,8416,VALÈNCIA,VALENCIA,11,10.4,0.0,4.1,16.7,8.7,es1970a
2017-01-09,8416,VALÈNCIA,VALENCIA,11,10.0,0.0,4.2,15.9,7.4,es1970a
2017-01-10,8416,VALÈNCIA,VALENCIA,11,10.0,0.0,4.5,15.6,0.3,es1970a
2017-01-11,8416,VALÈNCIA,VALENCIA,11,12.2,0.0,8.3,16.1,8.6,es1970a
2017-01-12,8416,VALÈNCIA,VALENCIA,11,14.0,0.0,6.0,22.0,8.2,es1970a
2017-01-13,8416,VALÈNCIA,VALENCIA,11,14.4,0.0,11.0,17.9,7.8,es1970a
2017-01-14,8416,VALÈNCIA,VALENCIA,11,11.2,0.0,7.5,14.8,8.1,es1970a
2017-01-15,8416,VALÈNCIA,VALENCIA,11,11.4,0.0,6.3,16.5,5.8,es1970a
2017-01-16,8416,VALÈNCIA,VALENCIA,11,13.2,0.0,8.0,18.4,8.0,es1970a
2017-01-17,8416,VALÈNCIA,VALENCIA,11,8.0,0.0,4.0,12.0,3.8,es1970a
2017-01-18,8416,VALÈNCIA,VALENCIA,11,5.8,0.3,0.9,10.8,6.8,es1970a
2017-01-19,8416,VALÈNCIA,VALENCIA,11,7.5,76.6,4.4,10.6,0.0,es1970a
2017-01-20,8416,VALÈNCIA,VALENCIA,11,7.1,66.5,4.8,9.4,0.0,es1970a
2017-01-21,8416,VALÈNCIA,VALENCIA,11,9.4,1.3,6.5,12.4,0.0,es1970a
2017-01-22,8416,VALÈNCIA,VALENCIA,11,12.8,0.4,9.6,16.1,0.0,es1970a
2017-01-23,8416,VALÈNCIA,VALENCIA,11,12.2,0.2,8.2,16.2,3.1,es1970a
2017-01-24,8416,VALÈNCIA,VALENCIA,11,11.2,0.0,6.8,15.6,3.8,es1970a
2017-01-25,8416,VALÈNCIA,VALENCIA,11,11.4,0.0,4.5,18.2,8.7,es1970a
2017-01-26,8416,VALÈNCIA,VALENCIA,11,9.2,1.3,4.0,14.4,5.1,es1970a
2017-01-27,8416,VALÈNCIA,VALENCIA,11,11.8,6.6,8.5,15.0,5.8,es1970a
2017-01-28,8416,VALÈNCIA,VALENCIA,11,12.2,0.1,7.0,17.5,,es1970a
2017-01-29,8416,VALÈNCIA,VALENCIA,11,11.8,0.0,6.2,17.5,4.8,es1970a
2017-01-30,8416,VALÈNCIA,VALENCIA,11,15.2,0.0,12.0,18.5,3.0,es1970a
2017-01-31,8416,VALÈNCIA,VALENCIA,11,11.2,0.0,6.8,15.7,7.3,es1970a
2017-02-01,8416,VALÈNCIA,VALENCIA,11,14.2,0.0,8.0,20.5,5.8,es1970a
2017-02-02,8416,VALÈNCIA,VALENCIA,11,13.9,1.8,11.0,16.8,0.0,es1970a
2017-02-03,8416,VALÈNCIA,VALENCIA,11,16.4,0.0,12.2,20.6,4.7,es1970a
2017-02-04,8416,VALÈNCIA,VALENCIA,11,18.1,0.0,15.4,20.8,0.0,es1970a
2017-02-05,8416,VALÈNCIA,VALENCIA,11,16.3,1.2,14.9,17.7,7.6,es1970a
2017-02-06,8416,VALÈNCIA,VALENCIA,11,15.0,0.0,9.5,20.6,3.2,es1970a
2017-02-07,8416,VALÈNCIA,VALENCIA,11,17.4,0.0,12.8,22.0,6.0,es1970a
2017-02-08,8416,VALÈNCIA,VALENCIA,11,14.8,0.0,9.3,20.2,0.0,es1970a
2017-02-09,8416,VALÈNCIA,VALENCIA,11,14.0,0.0,8.4,19.5,8.5,es1970a
2017-02-10,8416,VALÈNCIA,VALENCIA,11,10.8,0.1,4.9,16.6,5.2,es1970a
2017-02-11,8416,VALÈNCIA,VALENCIA,11,11.2,0.0,9.3,13.1,0.0,es1970a
2017-02-12,8416,VALÈNCIA,VALENCIA,11,15.6,0.0,12.1,19.0,1.2,es1970a
2017-02-13,8416,VALÈNCIA,VALENCIA,11,16.8,3.2,13.0,20.5,8.3,es1970a
2017-02-14,8416,VALÈNCIA,VALENCIA,11,13.9,0.0,8.0,19.8,7.9,es1970a
2017-02-15,8416,VALÈNCIA,VALENCIA,11,12.2,0.0,6.5,18.0,4.8,es1970a
2017-02-16,8416,VALÈNCIA,VALENCIA,11,12.6,0.0,8.3,17.0,5.1,es1970a
2017-02-17,8416,VALÈNCIA,VALENCIA,11,12.6,0.0,7.2,18.0,7.6,es1970a
2017-02-18,8416,VALÈNCIA,VALENCIA,11,12.0,0.0,6.9,17.1,8.9,es1970a
2017-02-19,8416,VALÈNCIA,VALENCIA,11,13.4,0.0,10.8,16.0,3.3,es1970a
2017-02-20,8416,VALÈNCIA,VALENCIA,11,12.0,0.0,6.5,17.6,9.8,es1970a
2017-02-21,8416,VALÈNCIA,VALENCIA,11,12.4,0.0,5.8,19.0,9.2,es1970a
2017-02-22,8416,VALÈNCIA,VALENCIA,11,13.0,0.0,7.6,18.3,4.8,es1970a
2017-02-23,8416,VALÈNCIA,VALENCIA,11,14.3,3.4,10.5,18.1,1.7,es1970a
2017-02-24,8416,VALÈNCIA,VALENCIA,11,13.3,2.8,11.2,15.4,0.3,es1970a
2017-02-25,8416,VALÈNCIA,VALENCIA,11,12.1,0.0,7.0,17.2,9.5,es1970a
2017-02-26,8416,VALÈNCIA,VALENCIA,11,14.1,0.0,8.4,19.8,9.3,es1970a
2017-02-27,8416,VALÈNCIA,VALENCIA,11,15.2,0.0,8.6,21.8,9.6,es1970a
2017-02-28,8416,VALÈNCIA,VALENCIA,11,15.4,0.0,12.6,18.1,0.7,es1970a
2017-03-01,8416,VALÈNCIA,VALENCIA,11,15.8,0.0,10.3,21.4,4.8,es1970a
2017-03-02,8416,VALÈNCIA,VALENCIA,11,14.8,0.0,8.1,21.4,9.6,es1970a
2017-03-03,8416,VALÈNCIA,VALENCIA,11,11.8,2.7,7.7,15.8,1.1,es1970a
2017-03-04,8416,VALÈNCIA,VALENCIA,11,10.5,0.0,7.8,13.2,2.9,es1970a
2017-03-05,8416,VALÈNCIA,VALENCIA,11,13.6,0.0,8.0,19.3,6.0,es1970a
2017-03-06,8416,VALÈNCIA,VALENCIA,11,20.1,0.0,14.5,25.7,6.2,es1970a
2017-03-07,8416,VALÈNCIA,VALENCIA,11,19.0,0.0,11.0,27.1,7.4,es1970a
2017-03-08,8416,VALÈNCIA,VALENCIA,11,17.5,0.0,13.3,21.7,8.6,es1970a
2017-03-09,8416,VALÈNCIA,VALENCIA,11,19.6,0.0,11.1,28.0,10.5,es1970a
2017-03-10,8416,VALÈNCIA,VALENCIA,11,19.6,0.0,14.6,24.5,10.5,es1970a
2017-03-11,8416,VALÈNCIA,VALENCIA,11,15.0,0.0,9.6,20.4,7.0,es1970a
2017-03-12,8416,VALÈNCIA,VALENCIA,11,15.9,39.7,10.6,21.2,7.8,es1970a
2017-03-13,8416,VALÈNCIA,VALENCIA,11,12.0,8.4,7.7,16.3,0.0,es1970a
2017-03-14,8416,VALÈNCIA,VALENCIA,11,15.4,0.0,11.8,19.0,7.2,es1970a
2017-03-15,8416,VALÈNCIA,VALENCIA,11,13.8,0.0,8.4,19.2,10.1,es1970a
