fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,14.4,0.0,13.1,06:30,15.6,13:40,99.0,2.2,6.7,-2,1027.6,10.0,1024.5,15.0,es2031a
2017-01-01,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.2,0.0,9.6,23:59,16.7,15:20,11.0,1.7,6.9,09:10,1024.7,0.0,1017.6,24.0,es2031a
2017-01-02,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.8,0.0,8.2,02:40,17.3,13:40,13.0,1.1,6.1,12:00,1019.7,-2.0,1015.8,6.0,es2031a
2017-01-03,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,14.4,0.0,8.4,07:40,20.3,14:50,26.0,1.9,5.3,11:50,1022.1,23.0,1019.0,15.0,es2031a
2017-01-04,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,16.8,0.0,11.6,04:00,21.9,13:50,30.0,2.5,7.8,23:30,1022.0,0.0,1018.2,-2.0,es2031a
2017-01-05,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,17.0,0.0,12.0,23:59,21.9,13:30,29.0,3.1,9.2,10:00,1019.3,0.0,1014.4,14.0,es2031a
2017-01-06,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.6,0.0,9.9,08:20,17.3,12:40,10.0,3.1,8.9,11:40,1023.7,24.0,1019.0,0.0,es2031a
2017-01-07,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,14.6,0.0,11.6,23:59,17.5,12:40,11.0,2.5,7.2,01:30,1024.9,10.0,1022.3,14.0,es2031a
2017-01-08,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.0,0.0,8.4,22:50,17.6,13:10,18.0,1.1,5.0,13:30,1024.6,10.0,1020.3,24.0,es2031a
2017-01-09,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,11.8,0.0,6.3,05:40,17.3,13:00,15.0,1.7,5.6,15:30,1021.9,10.0,1018.7,15.0,es2031a
2017-01-10,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.2,0.0,6.4,01:10,18.0,13:50,31.0,2.2,11.9,15:40,1019.3,0.0,1011.0,14.0,es2031a
2017-01-11,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,17.0,0.0,10.9,23:59,23.2,13:30,35.0,3.6,11.1,10:20,1023.0,-2.0,1012.2,4.0,es2031a
2017-01-12,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.9,0.0,8.1,06:40,19.7,15:10,28.0,1.7,5.8,22:20,1024.2,9.0,1017.7,24.0,es2031a
2017-01-13,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.9,0.0,10.1,23:10,17.7,13:50,28.0,3.6,12.2,10:00,1018.6,-2.0,1014.9,14.0,es2031a
2017-01-14,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.7,0.0,8.1,23:10,17.3,12:00,28.0,1.7,6.4,01:40,1022.4,-2.0,1017.7,4.0,es2031a
2017-01-15,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,11.7,0.0,5.4,04:50,18.0,14:30,29.0,2.8,7.5,15:30,1024.4,9.0,1020.1,-2.0,es2031a
2017-01-16,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.2,0.0,7.3,04:40,19.2,13:40,28.0,2.2,9.4,16:20,1021.6,0.0,1015.1,17.0,es2031a
2017-01-17,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,14.9,0.0,10.3,07:00,19.5,13:40,28.0,3.6,11.7,09:10,1015.2,0.0,1009.8,17.0,es2031a
2017-01-18,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,7.3,2.4,3.1,23:00,11.5,,30.0,2.5,9.7,23:30,1013.1,21.0,1010.5,-2.0,es2031a
2017-01-19,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,6.8,1.9,3.5,00:20,10.0,15:00,99.0,4.4,10.8,-2,1011.7,0.0,1006.6,23.0,es2031a
2017-01-20,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,10.0,0.0,5.1,08:00,14.8,15:00,25.0,2.5,7.5,12:20,1012.8,23.0,1006.7,0.0,es2031a
2017-01-21,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,10.3,0.0,5.7,07:40,14.9,16:00,27.0,4.4,10.8,10:30,1012.7,24.0,1008.7,15.0,es2031a
2017-01-22,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.0,0.0,8.9,-2,17.1,14:40,29.0,3.1,10.8,01:00,1013.9,10.0,1010.5,15.0,es2031a
2017-01-23,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.4,0.0,7.2,05:50,17.7,14:00,30.0,2.5,8.9,12:10,1017.1,-2.0,1012.0,14.0,es2031a
2017-01-24,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.8,0.0,7.6,07:40,18.0,13:40,29.0,3.1,9.2,13:40,1019.6,10.0,1016.6,2.0,es2031a
2017-01-25,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.6,0.0,8.0,03:50,19.2,12:50,29.0,2.8,9.4,05:50,1018.6,0.0,1013.3,16.0,es2031a
2017-01-26,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.6,10.6,8.6,07:40,16.7,12:50,13.0,2.2,9.4,23:40,1014.9,0.0,1008.5,24.0,es2031a
2017-01-27,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.4,0.2,10.1,06:00,16.6,13:20,29.0,1.7,10.6,14:10,1016.5,24.0,1007.6,4.0,es2031a
2017-01-28,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.4,0.0,9.5,07:30,17.2,15:00,31.0,1.7,10.0,11:40,1022.0,23.0,1016.5,0.0,es2031a
2017-01-29,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.6,0.0,9.6,07:00,17.6,13:40,29.0,1.7,6.1,02:50,1022.5,23.0,1019.9,15.0,es2031a
2017-01-30,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.3,0.0,6.3,06:40,18.3,13:50,28.0,1.9,4.7,07:10,1022.1,0.0,1015.3,24.0,es2031a
2017-01-31,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,12.1,0.0,6.2,07:20,18.0,12:40,15.0,1.9,4.7,12:50,1015.3,0.0,1010.8,14.0,es2031a
2017-02-01,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,14.2,0.0,7.5,04:10,21.0,15:00,99.0,1.4,5.3,04:50,1016.7,10.0,1013.0,-2.0,es2031a
2017-02-02,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,13.7,0.6,10.0,04:50,17.4,13:30,7.0,1.7,5.3,11:50,1017.6,22.0,1013.2,16.0,es2031a
2017-02-03,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,15.1,0.0,8.6,04:20,21.6,13:30,26.0,1.4,6.4,13:30,1019.5,10.0,1015.7,15.0,es2031a
2017-02-04,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,16.2,0.3,10.9,07:50,21.6,14:30,26.0,2.2,8.3,16:00,1019.4,10.0,1015.8,15.0,es2031a
2017-02-05,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,16.2,0.0,13.2,07:00,19.2,15:30,28.0,4.2,15.6,11:50,1024.4,24.0,1014.9,6.0,es2031a
2017-02-06,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,15.8,0.0,10.5,07:10,21.2,15:10,30.0,4.2,10.3,02:20,1025.5,9.0,1021.7,17.0,es2031a
