"site","start_dt","end_dt","fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","sol","presMax","horaPresMax","presMin","horaPresMin","siteAQ"
"es0041a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,0.99931577146767,0.999657885733835,1,1,1,1,1,1,1
"es0110a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,0.99931577146767,0.999657885733835,1,1,1,1,1,1,1
"es0115a",2013-01-01,2020-12-31,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.941840574751967,0.9483407458091,0.941840574751967,1,NA,0.98460485802258,0.98460485802258,0.98460485802258,0.984262743756415,1
"es0118a",2013-01-01,2020-12-31,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.941840574751967,0.9483407458091,0.941840574751967,1,NA,0.98460485802258,0.98460485802258,0.98460485802258,0.984262743756415,1
"es0120a",2013-01-01,2020-12-31,1,1,1,1,1,0.926162584309549,0.970891018814341,0.926162584309549,1,0.926162584309549,1,0.501242456514022,0.513667021654242,0.501242456514022,1,NA,NA,NA,NA,NA,1
"es0817a",2013-01-01,2020-12-31,1,1,1,1,1,0.990420800547383,1,0.990420800547383,1,0.990420800547383,1,0.981183715360931,0.988368114950393,0.981183715360931,1,0.980157372562436,0.989052343482723,0.989052343482723,0.989052343482723,0.989052343482723,1
"es0890a",2013-01-01,2020-12-31,1,1,1,1,1,0.990420800547383,1,0.990420800547383,1,0.990420800547383,1,0.981183715360931,0.988368114950393,0.981183715360931,1,0.980157372562436,0.989052343482723,0.989052343482723,0.989052343482723,0.989052343482723,1
"es1018a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,1,1,1,1,1,1
"es1047a",2013-01-01,2020-12-31,1,1,1,1,1,0.996537396121884,0.995498614958449,0.996537396121884,1,0.996537396121884,1,0.991689750692521,0.994113573407202,0.991689750692521,1,0.98718836565097,0.99584487534626,0.99584487534626,0.99584487534626,0.99584487534626,1
"es1096a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.996578857338351,0.996578857338351,0.996578857338351,1,0.994526171741362,0.993499828942867,0.993499828942867,0.993499828942867,0.993499828942867,1
"es1137a",2013-01-01,2020-12-31,1,1,1,1,1,0.993841943209032,1,0.993841943209032,1,0.994526171741362,1,0.979473144030106,0.995210400273691,0.979473144030106,1,0.625384878549435,0.993157714676702,0.992815600410537,0.993157714676702,0.993157714676702,1
"es1138a",2013-01-01,2020-12-31,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,1,1,0.998289428669175,0.997947314403011,0.998289428669175,1,0.995894628806021,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,1
"es1160a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,1,1,1,1,0.999657885733835,1
"es1161a",2014-04-01,2017-07-31,1,1,1,1,1,1,1,1,1,1,1,0.997538966365874,0.999179655455291,0.997538966365874,1,0.994257588187039,1,1,1,1,1
"es1181a",2013-01-01,2020-12-31,1,1,1,1,1,0.995552514539856,1,0.995552514539856,1,0.997605200136846,1,0.986999657885734,0.997263085870681,0.986999657885734,1,1,0.996920971604516,0.996920971604516,0.996578857338351,0.996578857338351,1
"es1225a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767,1
"es1239a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,0.996920971604516,NA,NA,NA,NA,1
"es1244a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,0.99931577146767,0.999657885733835,1,1,1,1,1,1,1
"es1262a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,1,1,1,1,1,1
"es1268a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.995210400273691,0.996236743072186,0.995210400273691,1,0.999657885733835,0.999657885733835,0.999657885733835,0.99931577146767,0.99931577146767,1
"es1269a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.995210400273691,0.996236743072186,0.995210400273691,1,0.999657885733835,0.999657885733835,0.999657885733835,0.99931577146767,0.99931577146767,1
"es1270a",2013-10-11,2020-12-31,1,1,1,1,1,0.972348484848485,0.946969696969697,0.972348484848485,1,0.972348484848485,1,0.903787878787879,0.925757575757576,0.903787878787879,1,0.818181818181818,0.931818181818182,0.931818181818182,0.931439393939394,0.931439393939394,1
"es1271a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0.950735545672254,1,1,1,1,1
"es1272a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0.950735545672254,1,1,1,1,1
"es1340a",2013-01-01,2020-12-31,1,1,1,1,1,0.99691146190803,1,0.99691146190803,1,0.99691146190803,1,0.99691146190803,0.997254632807138,0.99691146190803,1,0.948524365133837,0.989704873026767,0.989704873026767,0.989704873026767,0.989704873026767,1
"es1358a",2013-10-11,2020-12-31,1,1,1,1,1,0.972348484848485,0.946969696969697,0.972348484848485,1,0.972348484848485,1,0.903787878787879,0.925757575757576,0.903787878787879,1,0.818181818181818,0.931818181818182,0.931818181818182,0.931439393939394,0.931439393939394,1
"es1393a",2013-01-01,2020-12-31,1,1,1,1,1,0.997947314403011,1,0.997947314403011,1,0.998289428669175,1,0.994526171741362,0.997263085870681,0.994526171741362,1,0.979815258296271,0.996578857338351,0.996578857338351,0.996578857338351,0.996578857338351,1
"es1426a",2013-01-01,2020-12-31,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.941840574751967,0.9483407458091,0.941840574751967,1,NA,0.98460485802258,0.98460485802258,0.98460485802258,0.984262743756415,1
"es1438a",2013-01-01,2020-12-31,1,1,1,1,1,0.92825266048747,0.995537246824579,0.92825266048747,1,0.92825266048747,1,0.995193958118778,0.997253690353587,0.995193958118778,1,NA,NA,NA,NA,NA,1
"es1479a",2013-01-01,2020-12-31,1,1,1,1,1,0.997605200136846,1,0.997947314403011,1,0.997605200136846,1,0.98460485802258,0.985973315087239,0.98460485802258,1,0.216558330482381,0.997947314403011,0.997947314403011,0.997605200136846,0.997605200136846,1
"es1480a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,1,1,1,1,1,1
"es1492a",2013-01-01,2020-12-31,1,1,1,1,1,0.995552514539856,1,0.995894628806021,1,0.995894628806021,1,0.994868286007527,0.996920971604516,0.994868286007527,1,0.998973657201505,0.995552514539856,0.995552514539856,0.995894628806021,0.995894628806021,1
"es1494a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,1,1,1,1
"es1502a",2013-01-01,2020-12-31,1,1,1,1,1,0.995552514539856,1,0.995894628806021,1,0.995894628806021,1,0.994868286007527,0.996920971604516,0.994868286007527,1,0.998973657201505,0.995552514539856,0.995552514539856,0.995894628806021,0.995894628806021,1
"es1521a",2013-01-01,2020-12-31,1,1,1,1,1,0.926162584309549,0.970891018814341,0.926162584309549,1,0.926162584309549,1,0.501242456514022,0.513667021654242,0.501242456514022,1,NA,NA,NA,NA,NA,1
"es1525a",2013-01-01,2020-12-31,1,1,1,1,1,0.926162584309549,0.970891018814341,0.926162584309549,1,0.926162584309549,1,0.501242456514022,0.513667021654242,0.501242456514022,1,NA,NA,NA,NA,NA,1
"es1560a",2013-01-01,2020-12-31,1,1,1,1,1,0.999657885733835,1,1,1,0.999657885733835,1,0.312350325008553,0.500855285665412,0.312350325008553,1,1,0.999657885733835,0.999657885733835,0.999657885733835,0.998973657201505,1
"es1563a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,0.999657885733835,0.99931577146767,1,0.99931577146767,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,1
"es1564a",2013-01-01,2020-12-31,1,1,1,1,1,0.999657885733835,0.999657885733835,0.999657885733835,1,0.999657885733835,1,0.998973657201505,1,0.998973657201505,1,0.993841943209032,1,1,1,1,1
