"site","start_dt","end_dt","miss_dy","fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","sol","presMax","horaPresMax","presMin","horaPresMin"
"0002I",2013-03-13,2020-01-21,644,0.779678412589805,0.779678412589805,0.779678412589805,0.779678412589805,0.779678412589805,0.736914129319193,0.69483407458091,0.736914129319193,0.779678412589805,0.736914129319193,0.779678412589805,0.720834758809442,0.736914129319193,0.720834758809442,0.779678412589805,NA,NA,NA,NA,NA
"0016A",2013-01-01,2020-12-31,0,1,1,1,1,1,0.957919945261717,1,0.957919945261717,1,0.958262059527882,1,0.995552514539856,0.99931577146767,0.995552514539856,1,0.991447143345877,0.998289428669175,0.997947314403011,0.99863154293534,0.998289428669175
"0076",2013-01-01,2020-12-31,0,1,1,1,1,1,0.995210400273691,0.996920971604516,0.995210400273691,1,0.995210400273691,1,0.990420800547383,0.995210400273691,0.990420800547383,1,0.978446801231611,0.995210400273691,0.994526171741362,0.995210400273691,0.994526171741362
"0149X",2013-01-01,2020-12-31,42,0.985631200821074,0.985631200821074,0.985631200821074,0.985631200821074,0.985631200821074,0.977078344166952,0.962367430721861,0.977078344166952,0.985631200821074,0.977078344166952,0.985631200821074,0.93226137529935,0.940472117687308,0.93226137529935,0.985631200821074,0.96647280191584,0.978446801231611,0.978446801231611,0.978446801231611,0.978446801231611
"0200E",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,1,1,1,1,1
"0201D",2013-01-01,2020-12-31,10,0.996578857338351,0.996578857338351,0.996578857338351,0.996578857338351,0.996578857338351,0.925076975709887,0.992131371878207,0.925076975709887,0.996578857338351,0.925076975709887,0.996578857338351,0.991789257612042,0.993841943209032,0.991789257612042,0.996578857338351,NA,NA,NA,NA,NA
"0252D",2013-01-01,2020-12-31,220,0.924734861443722,0.924734861443722,0.924734861443722,0.924734861443722,0.924734861443722,0.907629148135477,0.913102976394116,0.907629148135477,0.924734861443722,0.907629148135477,0.924734861443722,0.921997947314403,0.923366404379063,0.921997947314403,0.924734861443722,NA,NA,NA,NA,NA
"0255B",2013-01-01,2020-12-31,44,0.984946972288744,0.984946972288744,0.984946972288744,0.984946972288744,0.984946972288744,0.960314745124872,0.681833732466644,0.960314745124872,0.984946972288744,0.960314745124872,0.984946972288744,0.838179952104003,0.840916866233322,0.838179952104003,0.984946972288744,NA,NA,NA,NA,NA
"0324A",2013-01-01,2020-12-31,96,0.96715703044817,0.96715703044817,0.96715703044817,0.96715703044817,0.96715703044817,0.904550119739993,0.854943551146083,0.904550119739993,0.96715703044817,0.904550119739993,0.96715703044817,0.691755046185426,0.696544645911734,0.691755046185426,0.96715703044817,NA,NA,NA,NA,NA
"0367",2013-01-01,2020-12-31,1,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.98392062949025,0.997947314403011,0.984262743756415,0.999657885733835,0.984946972288744,0.999657885733835,0.984946972288744,0.991105029079713,0.984946972288744,0.999657885733835,0.928840232637701,0.988026000684229,0.988026000684229,0.988368114950393,0.988368114950393
