"site","Pollutant","site_name","latitude","longitude","elevation","country","site_type","site_area","date_start","date_end","Municipio","Población","Estación.tráfico"
"es0118a","no","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2021-02-15 00:00:00,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a","no2","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2021-02-15 00:00:00,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a","o3","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2021-02-15 00:00:00,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a","pm10","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2021-02-15 00:00:00,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a","pm2.5","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2021-02-15 00:00:00,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es1340a","no","POZO DULCE",37.25336,-6.93514,18,"spain","traffic","urban",1997-01-01,2021-02-15 01:00:00,"Huelva",143663,"POZO DULCE"
"es1340a","no2","POZO DULCE",37.25336,-6.93514,18,"spain","traffic","urban",1997-01-01,2021-02-15 01:00:00,"Huelva",143663,"POZO DULCE"
"es1340a","pm10","POZO DULCE",37.25336,-6.93514,18,"spain","traffic","urban",1997-01-01,2021-02-15 01:00:00,"Huelva",143663,"POZO DULCE"
"es1438a","no","Barcelona (l'Eixample)",41.385343284,2.15382196,26,"spain","traffic","urban",1997-01-01,2021-02-15 01:00:00,"Barcelona",1636763,"Barcelona (l'Eixample)"
"es1438a","no2","Barcelona (l'Eixample)",41.385343284,2.15382196,26,"spain","traffic","urban",1997-01-01,2021-02-15 01:00:00,"Barcelona",1636763,"Barcelona (l'Eixample)"
"es1438a","o3","Barcelona (l'Eixample)",41.385343284,2.15382196,26,"spain","traffic","urban",1997-01-01,2021-02-15 01:00:00,"Barcelona",1636763,"Barcelona (l'Eixample)"
"es1580a","no","SANTANDER CENTRO",43.46056,-3.80861,9,"spain","traffic","urban",2002-01-01,2021-02-15 00:00:00,"Santander",172539,"Centro"
"es1580a","no2","SANTANDER CENTRO",43.46056,-3.80861,9,"spain","traffic","urban",2002-01-01,2021-02-15 00:00:00,"Santander",172539,"Centro"
"es1580a","pm10","SANTANDER CENTRO",43.46056,-3.80861,9,"spain","traffic","urban",2002-01-01,2021-02-15 00:00:00,"Santander",172539,"Centro"
