"usaf","wban","station","ctry","st","call","latitude","longitude","elev.m.","begin","end","code","longr","latr","dist","siteAQ"
80250,99999,"BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,"1973-01-01","2021-05-30","080250-99999",-0.0508065345255549,0.755745019406065,5.46400877419572,"es0041a"
80250,99999,"BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,"1973-01-01","2021-05-30","080250-99999",-0.0508065345255549,0.755745019406065,5.36353983996675,"es0110a"
82230,99999,"CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,"1973-07-19","2021-05-30","082230-99999",-0.0660607121879854,0.704606872322631,10.367903478657,"es0118a"
82210,99999,"BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,"1931-01-02","2021-05-30","082210-99999",-0.0622558944186377,0.706753627302584,10.4443494989782,"es0120a"
83910,99999,"SEVILLA","SP",NA,"LEZL",37.418,-5.893,33.8,"1973-01-01","2021-05-30","083910-99999",-0.102852252820026,0.653067299511238,6.9795678748564,"es0817a"
83910,99999,"SEVILLA","SP",NA,"LEZL",37.418,-5.893,33.8,"1973-01-01","2021-05-30","083910-99999",-0.102852252820026,0.653067299511238,10.0692307996459,"es0890a"
81763,99999,"SABADELL","SP",NA,"LELL",41.517,2.1,250,"2000-08-30","2021-05-30","081763-99999",0.0366519142918809,0.724608345550486,8.84983872341247,"es1018a"
81600,99999,"ZARAGOZA AB","SP",NA,"LEZG",41.666,-1.042,263,"1973-01-01","2021-05-30","081600-99999",-0.0181863308057809,0.727208886135957,10.5838200848442,"es1047a"
80480,99999,"ORENSE","SP",NA,NA,42.333,-7.867,147,"1973-01-01","2021-05-30","080480-99999",-0.137305052254394,0.73885023224676,2.39755118171721,"es1096a"
80450,99999,"VIGO","SP",NA,"LEVX",42.232,-8.627,260.6,"1973-01-01","2021-05-30","080450-99999",-0.150569554569551,0.737087449702245,9.58699233304989,"es1137a"
80750,99999,"BURGOS","SP",NA,"LEBG",42.358,-3.621,897.6,"1973-01-01","2021-05-30","080750-99999",-0.0631983722147147,0.739286564559758,4.55364787174155,"es1160a"
