"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"080210","99999","SANTANDER","SP",NA,"LEXJ",43.427,-3.82,4.9,1973-01-01,2021-03-06,"080210-99999",-0.0666715774261834,0.757944134263578,73.1370398364316,"es0041a"
"080210","99999","SANTANDER","SP",NA,"LEXJ",43.427,-3.82,4.9,1973-01-01,2021-03-06,"080210-99999",-0.0666715774261834,0.757944134263578,69.5152892745445,"es0110a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,12.6382518626363,"es0118a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,10.4443494989782,"es0120a"
"083830","99999","HUELVA","SP",NA,NA,37.283,-6.917,20,1973-01-01,2021-03-06,"083830-99999",-0.120724424360448,0.650711105021046,85.389956353623,"es0817a"
"083830","99999","HUELVA","SP",NA,NA,37.283,-6.917,20,1973-01-01,2021-03-06,"083830-99999",-0.120724424360448,0.650711105021046,81.7408949412358,"es0890a"
"081750","99999","REUS","SP",NA,"LERS",41.147,1.167,71.3,1973-01-01,2021-03-06,"081750-99999",0.0203679923707738,0.718150627318107,83.6076424931978,"es1018a"
"080940","99999","HUESCA-PIRINEOS","SP",NA,"LEHC",42.083,-0.333,554,1973-01-02,2021-03-06,"080940-99999",-0.00581194640914112,0.734486909116774,68.078762518023,"es1047a"
"080080","99999","LUGO/ROZAS","SP",NA,NA,43.117,-7.45,446,1973-01-01,2021-03-06,"080080-99999",-0.130027029273578,0.752533613582395,91.8600958217273,"es1096a"
"080010","99999","LA CORUNA","SP",NA,NA,43.367,-8.417,67,1931-01-01,2021-03-06,"080010-99999",-0.146904363140363,0.756896936712381,130.3785635018,"es1137a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-03-06,"080800-99999",-0.0475427688243255,0.748449543132728,97.7970497023543,"es1160a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-03-06,"080110-99999",-0.105330620357858,0.76033523533881,112.782394098056,"es1161a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-03-06,"082840-99999",-0.00841248699461267,0.689213068320041,3.11084056853165,"es1181a"
"080940","99999","HUESCA-PIRINEOS","SP",NA,"LEHC",42.083,-0.333,554,1973-01-02,2021-03-06,"080940-99999",-0.00581194640914112,0.734486909116774,94.2012565661571,"es1225a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-03-06,"082840-99999",-0.00841248699461267,0.689213068320041,9.8192087100704,"es1239a"
