"site","Pollutant","start_yr","end_yr","hv.min","mss.wk","mss.mnth","mss.yr"
"es2047a","pm10",2014-01-01,2021-01-16,NA,166,36,2
"es2047a","no2",2014-01-01,2021-01-16,TRUE,59,12,1
"es2047a","no",2014-01-01,2021-01-16,TRUE,59,12,1
"es2042a","o3",2013-04-08,2021-01-15,TRUE,13,3,0
"es2042a","no2",2018-01-01,2021-01-15,TRUE,270,61,5
"es2042a","no",2018-01-01,2021-01-15,TRUE,270,61,5
"es2031a","pm10",2020-01-14,2021-01-16,FALSE,375,85,7
"es2031a","no2",2013-01-01,2021-01-16,TRUE,19,1,0
"es2031a","no",2013-01-01,2021-01-16,TRUE,19,1,0
"es2030a","pm2.5",2013-01-18,2018-12-24,FALSE,200,25,3
"es2030a","pm10",2013-01-03,2021-01-16,TRUE,21,2,0
"es2030a","o3",2013-01-01,2021-01-16,TRUE,52,12,1
"es2030a","no2",2013-01-01,2021-01-16,TRUE,50,12,1
"es2030a","no",2013-01-01,2021-01-16,TRUE,50,12,1
"es2028a","pm2.5",2019-01-04,2021-01-16,TRUE,311,72,6
"es2028a","pm10",2013-02-15,2021-01-16,TRUE,4,1,0
"es2028a","o3",2013-02-15,2021-01-16,TRUE,4,1,0
"es2028a","no2",2013-02-15,2021-01-16,TRUE,4,1,0
"es2028a","no",2013-02-15,2021-01-16,TRUE,4,1,0
"es2010a","pm2.5",2013-01-01,2021-01-16,TRUE,0,0,0
"es2010a","pm10",2013-01-01,2021-01-15,TRUE,0,0,0
"es2010a","no2",2013-01-01,2021-01-15,TRUE,5,0,0
"es2010a","no",2013-01-01,2021-01-15,TRUE,5,0,0
"es1999a","pm10",2013-02-14,2018-12-30,FALSE,110,26,3
"es1999a","no2",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1999a","no",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1970a","pm10",2013-01-01,2018-12-30,FALSE,151,30,3
"es1970a","o3",2013-01-01,2021-01-16,TRUE,50,12,1
"es1970a","no2",2013-01-01,2021-01-16,TRUE,59,14,1
"es1970a","no",2013-01-01,2021-01-16,TRUE,59,14,1
"es1943a","pm2.5",2018-01-03,2021-01-16,TRUE,259,60,5
"es1943a","pm10",2018-01-03,2021-01-16,TRUE,259,60,5
"es1943a","o3",2013-01-01,2017-12-31,FALSE,156,37,4
"es1943a","no2",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1943a","no",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1940a","pm2.5",2013-01-01,2021-01-16,TRUE,4,0,0
"es1940a","pm10",2013-01-01,2021-01-16,TRUE,2,0,0
"es1940a","no2",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1940a","no",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1938a","pm2.5",2013-01-01,2021-01-16,TRUE,1,0,0
"es1938a","pm10",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1938a","no2",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1938a","no",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1912a","pm2.5",2017-08-16,2021-01-16,TRUE,239,55,4
"es1912a","pm10",2017-08-16,2021-01-16,TRUE,239,55,4
"es1912a","o3",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1912a","no2",2013-01-01,2021-01-16,TRUE,4,0,0
"es1912a","no",2013-01-01,2021-01-16,TRUE,4,0,0
"es1849a","pm2.5",2014-01-02,2018-12-12,FALSE,292,40,4
"es1849a","pm10",2013-01-01,2018-12-30,FALSE,117,25,3
"es1849a","o3",2013-01-01,2021-01-16,TRUE,-2,0,0
"es1849a","no2",2013-01-01,2021-01-16,TRUE,19,3,0
"es1849a","no",2013-01-01,2021-01-16,TRUE,19,3,0
"es1837a","o3",2017-01-01,2021-01-16,TRUE,207,48,4
"es1837a","no2",2017-01-01,2021-01-16,TRUE,207,48,4
"es1837a","no",2017-01-01,2021-01-16,TRUE,208,48,4
"es1836a","pm10",2017-01-01,2021-01-16,TRUE,207,48,4
"es1836a","o3",2017-01-01,2021-01-16,TRUE,207,48,4
"es1836a","no2",2017-01-01,2021-01-16,TRUE,208,48,4
"es1836a","no",2017-01-01,2021-01-16,TRUE,208,48,4
