"site","start_dt","end_dt","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_6","precip","precip_12","pwc"
"603200-99999",2013-01-09,2021-01-01,0.489203972937959,0.488498632503239,0.48917518353246,0.485446955520368,0.481617964589031,0.488426658989492,0.488412264286743,0.00970202965308766,0.0450554196055851,0.00595940693824673,NA,0.0470418885850007,0.0317259248596517,NA,NA,0.128861379012523,0.222182236936807,NA,0
"600300-99999",2013-01-01,2020-12-31,0.998902007757244,0.990973648186174,0.998688113164499,0.975587497148072,0.416367214236824,0.998616814966918,0.998616814966918,0.46519221994068,0.882158339037189,0.309120465434634,0.0304443303673283,0.882329454711385,0.87136379192334,0.306097421857175,0.030430070727812,0.0402121834360027,0.298639630390144,0.04072553045859,0
"600200-99999",2013-01-01,2021-01-01,0.542981455064194,0.541184022824536,0.543366619115549,0.543038516405136,0.534664764621969,0.543252496433666,0.543238231098431,0.0645363766048502,0.140513552068474,0.00885877318116976,Inf,0.146333808844508,0.1060485021398,0.000171184022824536,NA,0.023922967189729,0.0760485021398003,0.13283880171184,0
"600180-99999",2017-07-12,2020-12-31,0.782373037251166,0.782373037251166,0.793049076933184,0.78756323500427,NA,0.786971946652651,0.786971946652651,NA,0,0,0,0,0,0,0,NA,0.00863937980421786,NA,0
"085510-99999",2013-01-01,2020-12-31,0.388724035608309,0.347323670394887,0.602331088792513,0.60330118694362,0.0949840219128053,0.561572700296736,0.561529901848893,0.0640835425701895,0.0787634101803241,0.10836566993837,0.0220839990869664,0.0788347409267291,0.0773938598493495,0.108151677699155,0.0220839990869664,0.0751540744122347,0.132318534581146,0.0549960054782013,0
"084950-99999",2013-01-01,2020-12-31,0.995964522016883,0.995593771389459,0.996149897330595,0.990146589094228,0.990474560803103,0.996078599133014,0.996078599133014,0.760281200091262,0.791566849190052,0.400082705909195,0.120337097878166,0.791566849190052,0.795074720511065,0.400082705909195,0.120337097878166,0.055027948893452,0.212996235455168,0.0623146246862879,0
"084870-99999",2013-01-01,2020-12-31,0.996492128678987,0.952558179329227,0.995579511749943,0.983031028975587,0.432993953912845,0.995422655715264,0.995422655715264,0.282882728724618,0.476656970111796,0.108387519963495,0.0174537987679671,0.47729865389003,0.452330025096966,0.103054414784394,0.0174537987679671,0.0395277207392197,0.299038900296601,0.040041067761807,0
"084820-99999",2013-01-01,2020-12-31,0.998246064339493,0.966290212183436,0.9979893908282,0.947153775952544,0.543449121606206,0.997946611909651,0.997946611909651,0.340448893451974,0.617941478439425,0.240417522245038,0.0349075975359343,0.618982432124116,0.577444102213096,0.235169974903034,0.0349075975359343,0.0605749486652977,0.26558578599133,0.061772758384668,0
"084530-99999",2017-07-12,2020-12-31,0.796859601865843,0.788548715590303,0.794691544576572,0.781354707312266,NA,0.781420406018001,0.781420406018001,NA,0,0,0,0,0,0,0,NA,0.038006701267985,0,0
"084520-99999",2017-07-12,2020-12-31,0.785592273832206,0.78348991524867,0.785132382892057,0.785132382892057,NA,0.785132382892057,0.785132382892057,NA,0,0,0,0,0,0,0,NA,0.022600354773011,NA,0
"084515-99999",2013-01-04,2020-12-31,0.370049806944265,0.346911825919706,0.3686431554924,NA,0.214327749788285,0.368485266043721,0.36839914452626,0.149923208313597,0.147239087686058,0.0342907175357763,0.00653088174080294,0.147239087686058,0.147138612582354,0.0341758888458281,0.00648782098207237,0,0,0,0
"084490-13025",2013-01-01,2020-12-31,0.995422655715264,0.862565594341775,0.995251540041068,NA,0.359514031485284,0.995066164727356,0.995066164727356,0.223733744010951,0.366629591603924,0.112037987679671,0.0186943874058864,0.366629591603924,0.368526123659594,0.112037987679671,0.0186943874058864,0,0,0,0
"084330-99999",2013-01-01,2020-12-31,0.891521410435626,0.860168887113799,0.890408809517017,0.721821242119077,0.451573331811828,0.889167831569338,0.889125039226314,0.260719481927367,0.391763900379425,0.0640601375060623,0.00852994037600205,0.394417025646878,0.35792942116224,0.057840983653325,0.00852994037600205,0.0181439534419308,0.250534904287793,0.0414229880466722,0
"084300-99999",2013-01-01,2020-12-31,0.781360065023029,0.776583153902095,0.781374324459211,0.781303027278301,0.775841663220636,0.781260248969756,0.781260248969756,0.0828045459082548,0.156169345064096,0.0322548446434428,NA,0.16659299291306,0.135293530493804,0.000983901096550642,NA,0.084786607537538,0.159791241854297,0.0451453749518744,0
"084190-99999",2013-01-01,2020-12-31,0.997033994980607,0.844726785306867,0.996677503992699,0.986852612365959,0.990217887291809,0.996449349760438,0.996449349760438,0.407811430527036,0.501654118183892,0.200932580424367,0.0641255989048597,0.503422313483915,0.48979009810632,0.194943531827515,0.0640970796258271,0.0403832991101985,0.166566849190052,0.04072553045859,0
"084170-99999",2013-01-02,2020-12-31,0.669265049364495,0.661083009729606,0.669207732099102,0.667961081576798,0.666556808574663,0.668749193975955,0.668749193975955,0.0114204651296087,0.0314385200682075,0.00283720463696677,NA,0.0229985527390488,0.0170805450871939,0.000300915643314657,NA,0.0382306160173098,0.517001733847278,0.0252052674566896,0
"084100-99999",2013-01-01,2020-12-31,0.993882614647502,0.822424709103354,0.993055555555556,0.961841204654346,0.414755874971481,0.993055555555556,0.99299851699749,0.362123545516769,0.281927332877025,0.0827059091946156,0.016355806525211,0.283125142596395,0.252766370066165,0.0799965776865161,0.016355806525211,0.0281485284052019,0.305370180241843,0.04072553045859,0
