"","X","site","variable","period","unit","date_start","date_end","observation_count","Municipio","Población","Estación.tráfico","numData"
"197",197,"es1271a","pm10","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2516,"Gijón",271782,"ARGENTINA",412000
"198",198,"es1271a","pm10","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",59580,"Gijón",271782,"ARGENTINA",412000
"199",199,"es1271a","o3","day","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3992,"Gijón",271782,"ARGENTINA",412000
"200",200,"es1271a","o3","dymax","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3993,"Gijón",271782,"ARGENTINA",412000
"201",201,"es1271a","o3","hour","ug.m-3","2002-01-01 00:00:00","2012-12-31 23:00:00",95476,"Gijón",271782,"ARGENTINA",412000
"202",202,"es1271a","o3","hour8","ug.m-3","2002-01-01 00:00:00","2012-12-31 23:00:00",95685,"Gijón",271782,"ARGENTINA",412000
"203",203,"es1271a","no2","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2519,"Gijón",271782,"ARGENTINA",412000
"204",204,"es1271a","no2","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",59914,"Gijón",271782,"ARGENTINA",412000
"205",205,"es1271a","no","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2519,"Gijón",271782,"ARGENTINA",412000
"206",206,"es1271a","no","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",59626,"Gijón",271782,"ARGENTINA",412000
"167",167,"es1268a","pm10","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2552,"Oviedo",219687,"PLAZA DE TOROS",411148
"168",168,"es1268a","pm10","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",60808,"Oviedo",219687,"PLAZA DE TOROS",411148
"169",169,"es1268a","o3","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",5445,"Oviedo",219687,"PLAZA DE TOROS",411148
"170",170,"es1268a","o3","dymax","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",5446,"Oviedo",219687,"PLAZA DE TOROS",411148
"171",171,"es1268a","o3","hour","ug.m-3","1997-01-01 00:00:00","2012-12-31 23:00:00",129365,"Oviedo",219687,"PLAZA DE TOROS",411148
"172",172,"es1268a","o3","hour8","ug.m-3","1997-01-01 01:00:00","2012-12-31 23:00:00",130019,"Oviedo",219687,"PLAZA DE TOROS",411148
"173",173,"es1268a","no2","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",3911,"Oviedo",219687,"PLAZA DE TOROS",411148
"174",174,"es1268a","no2","hour","ug.m-3","1997-01-01 00:00:00","2012-12-31 23:00:00",92331,"Oviedo",219687,"PLAZA DE TOROS",411148
