"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación tráfico","site_name","latitude","longitude","elevation","country","site_type","site_area","date_start","date_end"
"es0041a",31140,"no2","Nitrogen dioxide (air)","day","ug.m-3",151,"Bilbao",346843,"María Diaz de Haro","DIRECCIÓN DE SALUD",43.25883,-2.94565,32,"spain","traffic","urban",1986-04-01,2021-01-15 23:00:00
"es0110a",31281,"o3","Ozone (air)","day","ug.m-3",4092,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31282,"o3","Ozone (air)","dymax","ug.m-3",4095,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31283,"o3","Ozone (air)","hour","ug.m-3",94149,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31284,"o3","Ozone (air)","hour8","ug.m-3",97891,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31285,"no2","Nitrogen dioxide (air)","day","ug.m-3",5324,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31286,"no2","Nitrogen dioxide (air)","hour","ug.m-3",125638,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31295,"no","Nitrogen monoxide (air)","day","ug.m-3",4278,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0110a",31296,"no","Nitrogen monoxide (air)","hour","ug.m-3",101361,"Bilbao",24350,"Erandio","ERANDIO",43.30268,-2.97724,4,"spain","traffic","urban",1997-01-01,2021-01-15 23:00:00
"es0115a",31345,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",363,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31346,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",8649,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31347,"o3","Ozone (air)","day","ug.m-3",2918,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31348,"o3","Ozone (air)","dymax","ug.m-3",2918,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31349,"o3","Ozone (air)","hour","ug.m-3",69765,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31350,"o3","Ozone (air)","hour8","ug.m-3",69898,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31351,"no2","Nitrogen dioxide (air)","day","ug.m-3",2916,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31352,"no2","Nitrogen dioxide (air)","hour","ug.m-3",69476,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31359,"no","Nitrogen monoxide (air)","day","ug.m-3",1457,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
"es0115a",31360,"no","Nitrogen monoxide (air)","hour","ug.m-3",34771,"Madrid",3266127,"PLAZA DE ESPAÑA","PLAZA DE ESPAÑA",40.42416666,-3.71222222,637,"spain","traffic","urban",1986-01-01,2021-01-16 00:00:00
