"siteAQ","Municipio","countAQ","siteMto","dist","countMto","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","pwc","precip","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_12","precip_6"
"es0041a","Bilbao",72714,"080250-99999",5.46400877419572,80098,0.999912607056356,0.793690229468901,0.998963769382506,0.323690978551275,0.369722090439212,0.998576743489226,0.998539289370521,0.380571300157307,0.0642962371095408,0.106956478314065,0.541112137631402,0.272815800644211,0.102873979375265,0.541112137631402,0.530038203201079,0.272815800644211,0.102873979375265,0,0
"es0041a","Bilbao",72714,"080800-99999",45.5037375173929,78801,1,0.792324970495298,0.999302039314222,0.328371467367165,0.364931917107651,0.998401035519854,0.998350274742706,0.397139630207738,0.0288955723912133,0.108158525907032,0.669458509409779,0.267648887704471,0.0392000101521554,0.669458509409779,0.658963718734534,0.267648887704471,0.0392000101521554,0,1.26901942868745e-05
"es0041a","Bilbao",72714,"080210-99999",73.1370398364316,78772,0.999936525669019,0.823338242014929,0.998502005788859,0.32803534250749,0.44471385771594,0.997702229218504,0.997638754887524,0.440473772406439,0.0992357690549942,0.108249124054232,0.508569034682374,0.25897527040065,0.0785558320215305,0.508569034682374,0.498946326105723,0.258962575534454,0.0785558320215305,0,0
"es0110a","Bilbao",269051,"080230-99999",69.4373388565049,25983,0.999961513297156,0.99953815956587,0.999884539891468,0.999268752645961,0.976099757533772,0.999730593080091,0.999730593080091,0.204325905399684,0.136858715313859,0.00969864911673017,0.276373013123966,0.000962167571104183,0,0.276373013123966,0.285494361698033,0.000962167571104183,0,0.000731247354039179,0.00161644151945503
"es0110a","Bilbao",269051,"080250-99999",5.36353983996675,80098,0.999912607056356,0.793690229468901,0.998963769382506,0.323690978551275,0.369722090439212,0.998576743489226,0.998539289370521,0.380571300157307,0.0642962371095408,0.106956478314065,0.541112137631402,0.272815800644211,0.102873979375265,0.541112137631402,0.530038203201079,0.272815800644211,0.102873979375265,0,0
"es0110a","Bilbao",269051,"080800-99999",50.9958235024084,78801,1,0.792324970495298,0.999302039314222,0.328371467367165,0.364931917107651,0.998401035519854,0.998350274742706,0.397139630207738,0.0288955723912133,0.108158525907032,0.669458509409779,0.267648887704471,0.0392000101521554,0.669458509409779,0.658963718734534,0.267648887704471,0.0392000101521554,0,1.26901942868745e-05
"es0115a","Madrid",189745,"082200-99999",2.90085651724137,21080,0.695872865275142,0.807163187855787,0.852609108159393,0,0,0.732685009487666,0.732685009487666,0,0.0569259962049336,0.0669829222011385,0,0,0,0,0,0,0,0,0
"es0115a","Madrid",189745,"082230-99999",8.54005254194238,41241,0.999975752285347,0.745932445866977,0.999393807133678,0.078659586333988,0.678378312844014,0.998690623408744,0.998569384835479,0.247132707742295,0.00564971751412429,0.155524841783662,0.442908755849761,0.125045464464974,0.0156397759511166,0.442908755849761,0.428432870201983,0.125045464464974,0.0156397759511166,0.0518173662132344,0.0259208069639436
"es0115a","Madrid",189745,"082220-99999",2.59894576494015,20854,0.870192768773377,0.844873885105975,0.976743070873693,0.548959432243215,0,0.548959432243215,0.548959432243215,0,0.036347942840702,0.0375467536204086,0,0,0,0,0,0,0,0,4.79524311882612e-05
"es0120a","Madrid",193846,"082210-99999",10.4443494989782,78975,0.999962013295347,0.866350110794555,0.999480848369737,0.32957264957265,0.752136752136752,0.999810066476733,0.999442861665084,0.282722380500158,0.000506489395378284,0.109249762583096,0.510047483380817,0.132231718898386,0.0285280151946819,0.510047483380817,0.438733776511554,0.132231718898386,0.0285280151946819,3.79867046533713e-05,0
"es0120a","Madrid",193846,"082220-99999",3.88565030560885,20854,0.870192768773377,0.844873885105975,0.976743070873693,0.548959432243215,0,0.548959432243215,0.548959432243215,0,0.036347942840702,0.0375467536204086,0,0,0,0,0,0,0,0,4.79524311882612e-05
"es0120a","Madrid",193846,"082200-99999",3.37090392213814,21080,0.695872865275142,0.807163187855787,0.852609108159393,0,0,0.732685009487666,0.732685009487666,0,0.0569259962049336,0.0669829222011385,0,0,0,0,0,0,0,0,0
"es0817a","Sevilla",186657,"083970-99999",38.2841422937175,51542,0.999204532226146,0.840751232004967,0.998874704124791,0.219161072523379,0.704920259206084,0.997652399984479,0.997613596678437,0.260486593457763,0.00137751736447945,0.32484187652788,0.360502114780179,0.118796321446587,0.0418105622599045,0.360502114780179,0.328877420356214,0.118796321446587,0.0418105622599045,0.0544604400294905,0.0542276201932405
"es0817a","Sevilla",186657,"083910-99999",6.9795678748564,105663,0.998892706056046,0.869594843985123,0.984072002498509,0.323140550618476,0.505389776932323,0.982311689049147,0.982292760947541,0.209325875661301,0.0168744025817931,0.0259693554034998,0.22365444857708,0.0494875216490162,0.00672894012095057,0.22365444857708,0.229115205890425,0.0494875216490162,0.00668161986693545,9.46405080302471e-06,0
"es0817a","Sevilla",186657,"083905-99999",8.28603342321921,10554,0.9989577411408,0.637957172635967,0.999147242751563,0,0.633030130756111,0.993083191207125,0.992988440401743,0.192723138146674,0,0,0.297422778093614,0.0974038279325374,0.00852757248436612,0.297422778093614,0.297328027288232,0.0974038279325374,0.00852757248436612,0,0
"es0890a","Sevilla",315991,"083905-99999",8.62418444409659,10554,0.9989577411408,0.637957172635967,0.999147242751563,0,0.633030130756111,0.993083191207125,0.992988440401743,0.192723138146674,0,0,0.297422778093614,0.0974038279325374,0.00852757248436612,0.297422778093614,0.297328027288232,0.0974038279325374,0.00852757248436612,0,0
"es0890a","Sevilla",315991,"083910-99999",10.0692307996459,105663,0.998892706056046,0.869594843985123,0.984072002498509,0.323140550618476,0.505389776932323,0.982311689049147,0.982292760947541,0.209325875661301,0.0168744025817931,0.0259693554034998,0.22365444857708,0.0494875216490162,0.00672894012095057,0.22365444857708,0.229115205890425,0.0494875216490162,0.00668161986693545,9.46405080302471e-06,0
"es0890a","Sevilla",315991,"083970-99999",42.0555800455356,51542,0.999204532226146,0.840751232004967,0.998874704124791,0.219161072523379,0.704920259206084,0.997652399984479,0.997613596678437,0.260486593457763,0.00137751736447945,0.32484187652788,0.360502114780179,0.118796321446587,0.0418105622599045,0.360502114780179,0.328877420356214,0.118796321446587,0.0418105622599045,0.0544604400294905,0.0542276201932405
"es1018a","Tarrasa",281812,"081763-99999",8.84983872341247,52276,0.999866095340118,0.735480909021348,0.997341036039483,0,0.499292218226337,0.996805417399954,0.996461091131686,0.41653913841916,0.0383541204376769,0,0.377878950187467,0.133847272170786,0.0334379064962889,0.377878950187467,0.377878950187467,0.133847272170786,0.0334379064962889,0,0
"es1018a","Tarrasa",281812,"081860-99999",8.58636045023814,20609,0.842593041874909,0.842593041874909,0.816099762239798,0,0,0.816051239749624,0.816051239749624,0,0.0424086564122471,0.0487651026250667,0,0,0,0,0,0,0,0,0
"es1018a","Tarrasa",281812,"081800-99999",18.6746306346566,20764,0.988874975919861,0.988874975919861,0.986804083991524,0,0,0.625939125409362,0.625939125409362,0,0.0412251974571374,0.0481602774031978,0,0,0,0,0,0,0,0,0
"es1047a","Zaragoza",405977,"080940-99999",68.078762518023,78005,0.9995769501955,0.901942183193385,0.995295173386321,0.330312159476957,0.366104736875841,0.991795397730915,0.991539003910006,0.308185372732517,0.0750721107621306,0.123633100442279,0.264085635536184,0.064931735145183,0.0151015960515352,0.264085635536184,0.264585603486956,0.0647650791615922,0.0151015960515352,0,0
"es1047a","Zaragoza",405977,"081600-99999",10.5838200848442,78640,0.999961851475076,0.947240590030519,0.999949135300102,0.330480671414039,0.453942014242116,0.999898270600203,0.999898270600203,0.219481180061038,0.0193031536113937,0.110478128179044,0.458977619532045,0.118107833163784,0.0204094608341811,0.458977619532045,0.44089521871821,0.118107833163784,0.0204094608341811,0.000254323499491353,0.000139877924720244
"es1047a","Zaragoza",405977,"080142-99999",75.3137338576049,51231,0.999824325115653,0.827057836075814,0.999746247389276,0,0.0567234682126056,0.999648650231305,0.999648650231305,0.87259666998497,0.0871933009310769,0,0.302434073119791,0.105931955261463,0.0283031758115204,0.302434073119791,0.302434073119791,0.105931955261463,0.0283031758115204,0,0
"es1096a","Ourense",449836,"080420-99999",74.6770720374653,80385,0.999763637494557,0.873297256950924,0.999763637494557,0.32101760278659,0.652372955153325,0.99610623872613,0.996093798594265,0.462511662623624,0.081346022267836,0.0547116999440194,0.617092741183057,0.311898986129253,0.11320519997512,0.617092741183057,0.613472662810226,0.311898986129253,0.11320519997512,0,0
"es1096a","Ourense",449836,"080440-99999",61.3443068493672,25779,0.999301757244269,0.995267465766709,1,0.986229101206408,0.988440203266224,0.996043291050855,0.996043291050855,0.132976453702626,0.202684355483145,0.0782031886419178,0.156018464641763,0,0,0.156018464641763,0.16179836300865,0,0,0.000349121377865705,0.000349121377865705
"es1096a","Ourense",449836,"080450-99999",63.0673895254065,80039,0.998238358800085,0.854133609865191,0.997463736428491,0.322455303039768,0.566598783093242,0.986893889229001,0.986868901410562,0.378690388435638,0.0529616811804245,0.0445907620035233,0.459238621172179,0.20056472469671,0.0661052736790814,0.459238621172179,0.455178100675921,0.200552230787491,0.0661052736790814,0,0
"es1137a","Vigo",440283,"080450-99999",9.58699233304989,80039,0.998238358800085,0.854133609865191,0.997463736428491,0.322455303039768,0.566598783093242,0.986893889229001,0.986868901410562,0.378690388435638,0.0529616811804245,0.0445907620035233,0.459238621172179,0.20056472469671,0.0661052736790814,0.459238621172179,0.455178100675921,0.200552230787491,0.0661052736790814,0,0
"es1137a","Vigo",440283,"080440-99999",25.9230400324003,25779,0.999301757244269,0.995267465766709,1,0.986229101206408,0.988440203266224,0.996043291050855,0.996043291050855,0.132976453702626,0.202684355483145,0.0782031886419178,0.156018464641763,0,0,0.156018464641763,0.16179836300865,0,0,0.000349121377865705,0.000349121377865705
