"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación.tráfico"
"es0041a",31140,"no2","Nitrogen dioxide (air)","day","ug.m-3",151,"Bilbao",346843,"María Diaz de Haro"
"es0110a",31281,"o3","Ozone (air)","day","ug.m-3",4092,"Bilbao",24350,"Erandio"
"es0110a",31282,"o3","Ozone (air)","dymax","ug.m-3",4095,"Bilbao",24350,"Erandio"
"es0110a",31283,"o3","Ozone (air)","hour","ug.m-3",94149,"Bilbao",24350,"Erandio"
"es0110a",31284,"o3","Ozone (air)","hour8","ug.m-3",97891,"Bilbao",24350,"Erandio"
"es0110a",31285,"no2","Nitrogen dioxide (air)","day","ug.m-3",5324,"Bilbao",24350,"Erandio"
"es0110a",31286,"no2","Nitrogen dioxide (air)","hour","ug.m-3",125638,"Bilbao",24350,"Erandio"
"es0110a",31295,"no","Nitrogen monoxide (air)","day","ug.m-3",4278,"Bilbao",24350,"Erandio"
"es0110a",31296,"no","Nitrogen monoxide (air)","hour","ug.m-3",101361,"Bilbao",24350,"Erandio"
"es0110a",31297,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",356,"Bilbao",24350,"Erandio"
"es0110a",31298,"pm2.5","Particulate matter < 2.5 µm (aerosol)","hour","ug.m-3",8136,"Bilbao",24350,"Erandio"
"es0110a",115310,"no2","Nitrogen dioxide (air)","hour","ug.m-3",40388,"Bilbao",24350,"Erandio"
"es0110a",115313,"no","Nitrogen monoxide (air)","hour","ug.m-3",40407,"Bilbao",24350,"Erandio"
"es0110a",115314,"pm2.5","Particulate matter < 2.5 µm (aerosol)","hour","ug.m-3",38706,"Bilbao",24350,"Erandio"
"es0110a",115309,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",37630,"Bilbao",24350,"Erandio"
"es0115a",31348,"o3","Ozone (air)","dymax","ug.m-3",2918,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31350,"o3","Ozone (air)","hour8","ug.m-3",69898,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31351,"no2","Nitrogen dioxide (air)","day","ug.m-3",2916,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31352,"no2","Nitrogen dioxide (air)","hour","ug.m-3",69476,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31349,"o3","Ozone (air)","hour","ug.m-3",69765,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31360,"no","Nitrogen monoxide (air)","hour","ug.m-3",34771,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31346,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",8649,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31347,"o3","Ozone (air)","day","ug.m-3",2918,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31359,"no","Nitrogen monoxide (air)","day","ug.m-3",1457,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",31345,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",363,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",115317,"no2","Nitrogen dioxide (air)","hour","ug.m-3",52424,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0115a",115322,"no","Nitrogen monoxide (air)","hour","ug.m-3",52424,"Madrid",3266127,"PLAZA DE ESPAÑA"
"es0118a",31426,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1456,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a",31427,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",34699,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a",31453,"no","Nitrogen monoxide (air)","day","ug.m-3",1457,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a",31454,"no","Nitrogen monoxide (air)","hour","ug.m-3",34687,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a",31460,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",1086,"Madrid",3266128,"ESCUELAS AGUIRRE"
"es0118a",31461,"pm2.5","Particulate matter < 2.5 µm (aerosol)","hour","ug.m-3",25851,"Madrid",3266128,"ESCUELAS AGUIRRE"
