"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"080250","99999","BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,1973-01-01,2021-01-21,"080250-99999",-0.0508065345255549,0.755745019406065,5.46400877419572,"es0041a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-01-21,"080800-99999",-0.0475427688243255,0.748449543132728,45.5037375173929,"es0041a"
"080210","99999","SANTANDER","SP",NA,"LEXJ",43.427,-3.82,4.9,1973-01-01,2021-01-21,"080210-99999",-0.0666715774261834,0.757944134263578,73.1370398364316,"es0041a"
"080250","99999","BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,1973-01-01,2021-01-21,"080250-99999",-0.0508065345255549,0.755745019406065,5.36353983996675,"es0110a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-01-21,"080800-99999",-0.0475427688243255,0.748449543132728,50.9958235024084,"es0110a"
"080230","99999","SANTANDER","SP",NA,NA,43.483,-3.8,59,1973-01-01,2021-01-21,"080230-99999",-0.0663225115757845,0.758921518644694,69.4373388565049,"es0110a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,2.59894576494015,"es0115a"
"082200","99999","MADRID/C. UNIVERSITARIA","SP",NA,NA,40.45,-3.717,669,1979-12-01,2021-01-20,"082200-99999",-0.0648738882966292,0.705985682431706,2.90085651724137,"es0115a"
"082230","99999","CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,1973-07-19,2021-01-21,"082230-99999",-0.0660607121879854,0.704606872322631,8.54005254194238,"es0115a"
"082200","99999","MADRID/C. UNIVERSITARIA","SP",NA,NA,40.45,-3.717,669,1979-12-01,2021-01-20,"082200-99999",-0.0648738882966292,0.705985682431706,3.37090392213814,"es0120a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,3.88565030560885,"es0120a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-01-21,"082210-99999",-0.0622558944186377,0.706753627302584,10.4443494989782,"es0120a"
"083910","99999","SEVILLA","SP",NA,"LEZL",37.418,-5.893,33.8,1973-01-01,2021-01-21,"083910-99999",-0.102852252820026,0.653067299511238,6.9795678748564,"es0817a"
"083905","99999","SEVILLA HELIPORT","SP",NA,"LEEC",37.317,-6,5,2007-06-29,2021-01-21,"083905-99999",-0.10471975511966,0.651304516966724,8.28603342321921,"es0817a"
"083970","99999","MORON AB","SP",NA,"LEMO",37.175,-5.616,86.9,1958-01-02,2021-01-21,"083970-99999",-0.0980176907920016,0.648826149428892,38.2841422937175,"es0817a"
"083905","99999","SEVILLA HELIPORT","SP",NA,"LEEC",37.317,-6,5,2007-06-29,2021-01-21,"083905-99999",-0.10471975511966,0.651304516966724,8.62418444409659,"es0890a"
"083910","99999","SEVILLA","SP",NA,"LEZL",37.418,-5.893,33.8,1973-01-01,2021-01-21,"083910-99999",-0.102852252820026,0.653067299511238,10.0692307996459,"es0890a"
"083970","99999","MORON AB","SP",NA,"LEMO",37.175,-5.616,86.9,1958-01-02,2021-01-21,"083970-99999",-0.0980176907920016,0.648826149428892,42.0555800455356,"es0890a"
"081860","99999","SAN LORENZO","SP",NA,NA,41.633,2.017,1092,1973-11-08,2021-01-20,"081860-99999",0.0352032910127256,0.726632927482799,8.58636045023814,"es1018a"
"081763","99999","SABADELL","SP",NA,"LELL",41.517,2.1,250,2000-08-30,2021-01-21,"081763-99999",0.0366519142918809,0.724608345550486,8.84983872341247,"es1018a"
"081800","99999","BARCELONA CITY","SP",NA,NA,41.417,2.133,176,1973-01-01,2021-01-20,"081800-99999",0.037227872945039,0.722863016298491,18.6746306346566,"es1018a"
"081600","99999","ZARAGOZA AB","SP",NA,"LEZG",41.666,-1.042,263,1973-01-01,2021-01-21,"081600-99999",-0.0181863308057809,0.727208886135957,10.5838200848442,"es1047a"
"080940","99999","HUESCA-PIRINEOS","SP",NA,"LEHC",42.083,-0.333,554,1973-01-02,2021-01-21,"080940-99999",-0.00581194640914112,0.734486909116774,68.078762518023,"es1047a"
"080142","99999","BARDENAS REALES","SP",NA,"LEBR",42.2,-1.45,295,2004-05-10,2021-01-21,"080142-99999",-0.0253072741539178,0.736528944341607,75.3137338576049,"es1047a"
"080440","99999","PONTEVEDRA","SP",NA,NA,42.433,-8.617,108,1973-01-01,2021-01-21,"080440-99999",-0.150395021644351,0.740595561498754,61.3443068493672,"es1096a"
"080450","99999","VIGO","SP",NA,"LEVX",42.232,-8.627,260.6,1973-01-01,2021-01-21,"080450-99999",-0.150569554569551,0.737087449702245,63.0673895254065,"es1096a"
"080420","99999","SANTIAGO","SP",NA,"LEST",42.896,-8.415,369.7,1973-01-01,2021-01-21,"080420-99999",-0.146869456555323,0.748676435935488,74.6770720374653,"es1096a"
"080450","99999","VIGO","SP",NA,"LEVX",42.232,-8.627,260.6,1973-01-01,2021-01-21,"080450-99999",-0.150569554569551,0.737087449702245,9.58699233304989,"es1137a"
"080440","99999","PONTEVEDRA","SP",NA,NA,42.433,-8.617,108,1973-01-01,2021-01-21,"080440-99999",-0.150395021644351,0.740595561498754,25.9230400324003,"es1137a"
"085510","99999","VIANA DO CASTELO-CHAPE","PO",NA,NA,41.633,-8.8,48,2006-10-10,2021-01-21,"085510-99999",-0.153588974175501,0.726632927482799,65.3360483965459,"es1137a"
