"period","site","variable","mean(2019.vs.2020)","std(2019.vs.2020)","mean(2015-2019.vs.2020)","std(2015-2019.vs.2020)"
"pre.lckdwn","es1580a","no2",33.7452685561498,59.1585544029562,0.61275206663136,28.909776237054
"lckdwn","es1580a","no2",-33.4900036270733,45.9178862112849,-46.2268041998398,29.9735226640996
"end.lckdwn","es1580a","no2",-44.573831604224,15.0039140626224,-52.0200509373093,3.87408107663785
"start.pos.lckdwn","es1580a","no2",-7.97040353037174,56.3511144477352,-38.5688858589656,23.5309633513866
"end.pos.lckdwn","es1580a","no2",-37.1314884572059,36.4843315696378,-47.9278873525831,19.9565813234013
"start.2.lckdwn","es1580a","no2",-58.5705780788032,21.6070947573279,-64.9348484982701,16.5137984511008
"pre.lckdwn","es1580a","no",37.7505481530024,162.275926830741,22.5380551917623,109.81649622186
"lckdwn","es1580a","no",-49.7613674946487,30.9372190924506,-56.7957482433101,20.4204925805062
"end.lckdwn","es1580a","no",-37.6587737739047,28.240262357883,-32.9597907796205,7.35772908058365
"start.pos.lckdwn","es1580a","no",-43.4050372741195,54.4865035163379,-47.6440428624743,37.0873684106901
"end.pos.lckdwn","es1580a","no",-17.7431419688033,86.3554042134307,-39.0182155793941,31.0528273708068
"start.2.lckdwn","es1580a","no",-16.2517066121759,98.455774258847,-53.8490775514138,40.6366649026419
"pre.lckdwn","es1580a","o3",NA,NA,NA,NA
"lckdwn","es1580a","o3",NA,NA,NA,NA
"end.lckdwn","es1580a","o3",NA,NA,NA,NA
"start.pos.lckdwn","es1580a","o3",NA,NA,NA,NA
"end.pos.lckdwn","es1580a","o3",NA,NA,NA,NA
"start.2.lckdwn","es1580a","o3",NA,NA,NA,NA
"pre.lckdwn","es1580a","pm10",19.4299708445795,50.448879081499,54.9955376494719,77.1771773638002
"lckdwn","es1580a","pm10",-5.86881273992047,49.6724073804422,0.367508646226554,43.4550041866776
"end.lckdwn","es1580a","pm10",-41.2513392331959,16.2712796082308,-10.7409491268259,9.12095370536505
"start.pos.lckdwn","es1580a","pm10",15.305942545546,50.988002593634,14.4296480808514,40.4270535003221
"end.pos.lckdwn","es1580a","pm10",2.75530284141148,43.4329771180294,7.59430142615379,40.2343569482109
"start.2.lckdwn","es1580a","pm10",-8.27465811220582,54.2544781915136,-4.47400938399045,63.7051044084715
"pre.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"end.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"start.pos.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"end.pos.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"start.2.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
