"date","Municipio","diff"
2020-01-01,"Alcalá de Henares",-38.0342712450801
2020-01-01,"Alcobendas",-21.1038988781181
2020-01-01,"Alicante",-30.0268491994297
2020-01-01,"Almería",-31.4741534278652
2020-01-01,"Barcelona",-53.8941739055535
2020-01-01,"Bilbao",-46.3059147105727
2020-01-01,"Burgos",-39.6242624367644
2020-01-01,"Castellón de la Plana",-69.6640685591541
2020-01-01,"Elche",-53.5587071376369
2020-01-01,"Gijón",-53.7950813202115
2020-01-01,"Girona",-47.9697057428075
2020-01-01,"Granada",-21.0599322449434
2020-01-01,"Leganés",-28.1033428028667
2020-01-01,"León",-47.334200260078
2020-01-01,"Lleida",-42.4980163699744
2020-01-01,"Madrid",-7.71071788969695
2020-01-01,"Málaga",0.149171752249718
2020-01-01,"Ourense",-21.1252551978267
2020-01-01,"Oviedo",-44.8022580670296
2020-01-01,"Palma",-31.7165691254987
2020-01-01,"Pamplona",-33.8316115908279
2020-01-01,"Sabadell",-49.6904520320095
2020-01-01,"Salamanca",-36.2405459445362
2020-01-01,"San Sebastián",-48.2679548440729
2020-01-01,"Santander",-33.1978991273264
2020-01-01,"Sevilla",-23.9722280463838
2020-01-01,"Tarrasa",-41.5516722710238
2020-01-01,"Valencia",-60.4428021197812
2020-01-01,"Vigo",-26.4792256588853
2020-01-01,"Vitoria",-16.9643760679511
2020-01-01,"Zaragoza",-28.2070553349266
2020-01-02,"Alcalá de Henares",-14.0183132104572
2020-01-02,"Alcobendas",1.13128904441856
2020-01-02,"Alicante",-18.7608172626165
2020-01-02,"Almería",-11.7908717079893
2020-01-02,"Barcelona",-44.3064814683586
2020-01-02,"Bilbao",-19.2046910102749
2020-01-02,"Burgos",-26.7323700231484
2020-01-02,"Castellón de la Plana",-59.5372418816154
2020-01-02,"Elche",-25.0780792295239
2020-01-02,"Gijón",-27.3103140756625
2020-01-02,"Girona",-31.4483551015073
2020-01-02,"Granada",-19.700522586423
2020-01-02,"Huelva",-4.0412363449336
2020-01-02,"Leganés",-0.73583123241116
2020-01-02,"León",-28.8904394193758
2020-01-02,"Lleida",-12.8936372827853
2020-01-02,"Madrid",0.489851373271133
2020-01-02,"Málaga",-9.01109621406571
2020-01-02,"Ourense",-18.1867189817602
